Word,Subt_freq,Film_freq,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS,PoS_freqs,Verb_freq
cremating,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,4.0,1.0,verb,4,4
crosschecked,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
darnel,5,1,0,0,0.1,0.7782,0.01,0.301,verb,4.0,0.8,verb.name,4.1,4
decoyed,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
deloused,5,5,5,5,0.1,0.7782,0.06,0.7782,verb,4.0,0.8,verb.adjective,4.1,4
demagnetize,4,4,1,1,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
deprogram,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
dirties,5,5,5,5,0.1,0.7782,0.06,0.7782,verb,4.0,1.0,verb,4,4
dramatise,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
dummkopf,11,8,6,4,0.22,1.0792,0.1,0.9542,noun,6.0,0.55,noun.verb.name,6.4.1,4
embolize,4,2,4,2,0.08,0.6990000000000001,0.02,0.4771,verb,4.0,1.0,verb,4,4
exteriorizing,5,2,3,1,0.1,0.7782,0.02,0.4771,verb,4.0,0.8,verb.name,4.1,4
fagged,6,4,6,4,0.12,0.8451,0.05,0.6990000000000001,verb,4.0,0.8,verb.adjective,4.1,4
fazes,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,4.0,1.0,verb,4,4
feinted,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,4.0,1.0,verb,4,4
fraternise,4,2,4,2,0.08,0.6990000000000001,0.02,0.4771,verb,4.0,1.0,verb,4,4
fuddled,5,2,5,2,0.1,0.7782,0.02,0.4771,verb,4.0,0.8,verb.adjective,4.1,4
gargles,5,3,5,3,0.1,0.7782,0.04,0.6021,verb,4.0,0.8,verb.noun,4.1,4
