Word,Subt_freq,Film_freq,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS,PoS_freqs,Verb_freq
mentholated,6,6,5,5,0.12,0.8451,0.07,0.8451,verb,3.0,0.5,verb.adjective,3.3,3
mesmerise,3,2,2,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
misdeal,5,4,2,2,0.1,0.7782,0.05,0.6990000000000001,verb,3.0,0.6,verb.noun,3.2,3
misdiagnose,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
mislay,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
mistreats,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
monkeyface,15,1,0,0,0.29,1.2041,0.01,0.301,name,9.0,0.6,name.verb.noun,9.3.3,3
notarised,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.adjective,3.1,3
objectifies,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
ofay,6,4,5,3,0.12,0.8451,0.05,0.6990000000000001,verb,3.0,0.5,verb.noun,3.3,3
outdrew,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
outfight,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
outtalk,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
overanalyze,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
overdramatize,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
palling,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
pancaked,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.adjective,3.1,3
parate,3,1,1,1,0.06,0.6021,0.01,0.301,verb,3.0,1.0,verb,3,3
perambulate,3,2,2,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
photoed,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
politicizes,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
pranked,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
prepossessed,3,1,3,1,0.06,0.6021,0.01,0.301,verb,3.0,1.0,verb,3,3
presell,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
prizefighting,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,3.0,0.75,verb.noun,3.1,3
promiss,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
pronging,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
psychoanalysed,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
psychoanalyzes,3,3,1,1,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
radioing,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
ratiocinate,3,1,2,1,0.06,0.6021,0.01,0.301,verb,3.0,1.0,verb,3,3
reconceive,3,2,2,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
refurnish,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
reinflate,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
remodulate,3,2,1,1,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
remortgaged,3,2,2,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
rendezvousing,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
repatch,4,3,2,2,0.08,0.6990000000000001,0.04,0.6021,verb,3.0,0.75,verb.noun,3.1,3
reviles,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
rewing,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
rogering,3,3,2,2,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
rotgut,14,13,14,13,0.27,1.1761,0.15,1.1461,noun,11.0,0.79,noun.verb,11.3,3
safecracking,5,5,5,5,0.1,0.7782,0.06,0.7782,verb,3.0,0.6,verb.noun.adjective,3.1.1,3
salivated,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
sashayed,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
scabbing,5,4,4,3,0.1,0.7782,0.05,0.6990000000000001,verb,3.0,0.6,verb.noun,3.2,3
schlepp,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.noun,3.1,3
sclerosed,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
scrimped,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.name,3.1,3
senores,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.noun,3.1,3
shamming,3,3,2,2,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
shellacking,9,9,9,9,0.18,1.0,0.11,1.0,noun,5.0,0.56,noun.verb.adjective,5.3.1,3
shitheel,14,12,14,12,0.27,1.1761,0.14,1.1139,noun,11.0,0.79,noun.verb,11.3,3
siccing,3,3,2,2,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
skedaddling,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
skell,9,9,9,9,0.18,1.0,0.11,1.0,noun,6.0,0.67,noun.verb,6.3,3
slaking,3,1,2,1,0.06,0.6021,0.01,0.301,verb,3.0,1.0,verb,3,3
smartened,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
sopped,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
spiriting,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
spreadeagle,3,3,0,0,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
spudding,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
squoze,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
sterilizes,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
stiffing,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
storax,3,1,0,0,0.06,0.6021,0.01,0.301,verb,3.0,1.0,verb,3,3
streetwalking,3,3,2,2,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
sublimates,4,3,3,3,0.08,0.6990000000000001,0.04,0.6021,verb,3.0,0.75,verb.noun,3.1,3
sublimating,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
sullies,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
sunbaked,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.adjective,3.1,3
swanning,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
tailgated,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
temped,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
tenderizing,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
tomahawked,4,3,3,3,0.08,0.6990000000000001,0.04,0.6021,verb,3.0,0.75,verb.name,3.1,3
tump,3,1,0,0,0.06,0.6021,0.01,0.301,verb,3.0,1.0,verb,3,3
unclasp,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
underplaying,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
unfix,5,3,5,3,0.1,0.7782,0.04,0.6021,verb,3.0,0.6,verb.noun,3.2,3
unfroze,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
unring,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
vamoosed,4,3,3,3,0.08,0.6990000000000001,0.04,0.6021,verb,3.0,0.75,verb.adjective,3.1,3
vamoosing,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.adjective,3.1,3
vanquishes,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
vaporise,3,2,2,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
victimise,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
waylaying,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
whatnots,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.noun,3.1,3
whipstaff,6,1,0,0,0.12,0.8451,0.01,0.301,verb,3.0,0.5,verb.noun.name,3.2.1,3
whooshed,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
whopped,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.adjective,3.1,3
whosever,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
woads,7,1,0,0,0.14,0.9031,0.01,0.301,noun,4.0,0.57,noun.verb,4.3,3
xeroxing,3,3,0,0,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
yakked,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
yapped,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
yodeled,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
yodels,12,8,3,3,0.24,1.1139,0.1,0.9542,noun,6.0,0.5,noun.verb.name,6.3.3,3
yucch,3,1,1,1,0.06,0.6021,0.01,0.301,verb,3.0,1.0,verb,3,3
zigged,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
zigs,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
aahing,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
abloom,3,1,3,1,0.06,0.6021,0.01,0.301,verb,2.0,0.67,verb.noun,2.1,2
absenting,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
accoutred,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
addlepated,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
aggress,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
aggresses,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
alibiing,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
alphabetised,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
amputates,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
anatomize,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
antagonising,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
anthropomorphizing,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
appals,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
arder,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
argle,2,2,0,0,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
arretez,2,1,0,0,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
assassinates,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
atrophying,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
ausgespielt,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
balden,2,1,0,0,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
bartends,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
beaning,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
befoul,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
befouled,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.adjective,2.1,2
begats,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
begrudged,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
behove,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
belabour,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
bellying,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
bewilders,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
bilged,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
binged,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
blackens,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
blindfolding,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
blindsiding,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
blipped,3,3,2,2,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.adjective,2.1,2
blondish,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,2.0,0.5,verb.adjective,2.2,2
blubbed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
blueprinted,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
bobsledder,5,1,5,1,0.1,0.7782,0.01,0.301,adjective,3.0,0.6,adjective.verb,3.2,2
bobsledders,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
bodkins,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,2.0,0.5,verb.noun,2.2,2
bollixed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
boogied,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
boychick,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
bringed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
bulbed,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
bulldozes,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
bulled,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
burring,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
buttling,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
buttonhook,3,2,1,1,0.06,0.6021,0.02,0.4771,verb,2.0,0.67,verb.noun,2.1,2
caddying,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,2.0,0.5,verb.noun,2.2,2
cannibalise,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
catcalling,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
cavitate,2,1,0,0,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
cavorts,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
charbroiling,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
cheesing,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
chickenfeed,3,1,2,1,0.06,0.6021,0.01,0.301,verb,2.0,0.67,verb.noun,2.1,2
chinning,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
chlorinate,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
chromeplated,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
chugger,3,2,2,1,0.06,0.6021,0.02,0.4771,verb,2.0,0.67,verb.name,2.1,2
chunder,3,3,2,2,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.name,2.1,2
cindering,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
circumambulating,2,1,1,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
clomped,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.adjective,2.1,2
coagulates,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
cohabitate,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
coldhearted,5,5,5,5,0.1,0.7782,0.06,0.7782,adjective,3.0,0.6,adjective.verb,3.2,2
combinate,2,1,1,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
compartmentalizing,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
comporting,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
confabulating,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
copycatting,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
cordoning,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
cornrow,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
coronated,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,2.0,0.67,verb.adjective,2.1,2
counterclaimed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
counterweighted,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
cozened,4,2,4,2,0.08,0.6990000000000001,0.02,0.4771,verb,2.0,1.0,verb,2,2
craquelure,2,1,0,0,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
cratch,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
crumping,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
curtsying,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
cusping,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
daubing,2,1,1,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
daunts,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
deadens,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
debauching,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
decerebrating,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
decoying,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
defecates,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
defilade,5,1,3,1,0.1,0.7782,0.01,0.301,noun,3.0,0.6,noun.verb,3.2,2
delate,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
demoralise,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
demotivate,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
deplaning,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
deprave,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.noun,2.1,2
depressurising,2,1,0,0,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
depressurize,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
deprogrammed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
deracinate,2,1,1,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
deranges,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
desecrates,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
detouring,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
detraining,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
dignifying,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,2.0,0.5,verb.noun,2.2,2
disarticulated,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
discomfiting,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
disfigures,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
disorganize,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
disorientate,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
dispirit,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,2.0,0.67,verb.noun,2.1,2
divvying,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
dognapping,2,2,0,0,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
douses,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
dowsed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
dratted,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.adjective,2.1,2
drowse,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.noun,2.1,2
eaver,2,1,0,0,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
editorialise,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
editorialising,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
effleurage,3,1,2,1,0.06,0.6021,0.01,0.301,verb,2.0,0.67,verb.noun,2.1,2
embitter,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
embrangle,2,1,1,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
embroiders,6,2,1,1,0.12,0.8451,0.02,0.4771,verb,2.0,0.33,verb.noun.name,2.2.2,2
engrosses,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
enkindle,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
enounced,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
entrechats,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
equivocating,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
eulogizing,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
eviscerates,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
excoriates,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
exhilarate,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
exorcize,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
fanleaf,2,1,1,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
fattens,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
felicitate,2,1,1,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
fidding,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
fizzed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
flimflammed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
flimflamming,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
flosses,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
flouncing,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
fluoresces,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
fractionating,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,2.0,0.67,verb.adjective,2.1,2
fraunch,3,1,0,0,0.06,0.6021,0.01,0.301,verb,2.0,0.67,verb.name,2.1,2
fricasseed,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,2.0,0.5,verb.noun,2.2,2
fricasseeing,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
frises,2,1,0,0,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
frugging,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
gabbling,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
garroting,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
geeing,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
gentled,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
genuflecting,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.noun,2.1,2
ghostwritten,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
glommed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
goggling,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.adjective,2.1,2
goldarn,8,8,7,7,0.16,0.9542,0.1,0.9542,noun,6.0,0.75,noun.verb,6.2,2
goldbrick,9,8,9,8,0.18,1.0,0.1,0.9542,noun,7.0,0.78,noun.verb,7.2,2
goldbricking,4,2,4,2,0.08,0.6990000000000001,0.02,0.4771,verb,2.0,0.5,verb.adjective,2.2,2
gonged,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
goosing,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
graveling,10,4,8,4,0.2,1.0414,0.05,0.6990000000000001,noun,6.0,0.6,noun.verb.name,6.2.2,2
grifted,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
groveled,3,3,2,2,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.name,2.1,2
grubstaked,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
guffawing,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
