Word,Subt_freq,Film_freq,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS,PoS_freqs,Noun_freq
peahen,4,2,4,2,0.08,0.6990000000000001,0.02,0.4771,noun,4.0,1.0,noun,4,4
peewees,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
perambulator,4,2,4,2,0.08,0.6990000000000001,0.02,0.4771,noun,4.0,1.0,noun,4,4
perkiness,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
picklocks,4,1,4,1,0.08,0.6990000000000001,0.01,0.301,noun,4.0,1.0,noun,4,4
pigboat,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
pilgrimess,4,2,0,0,0.08,0.6990000000000001,0.02,0.4771,noun,4.0,1.0,noun,4,4
pillock,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
pirogi,4,4,0,0,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
pissants,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,noun,4.0,1.0,noun,4,4
poncey,5,5,5,5,0.1,0.7782,0.06,0.7782,noun,4.0,0.8,noun.adjective,4.1,4
poofter,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
poolrooms,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
posthole,4,1,4,1,0.08,0.6990000000000001,0.01,0.301,noun,4.0,1.0,noun,4,4
pouncy,4,1,4,1,0.08,0.6990000000000001,0.01,0.301,noun,4.0,1.0,noun,4,4
princeling,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
prolongations,4,1,3,1,0.08,0.6990000000000001,0.01,0.301,noun,4.0,1.0,noun,4,4
puker,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
pureblood,5,1,5,1,0.1,0.7782,0.01,0.301,noun,4.0,0.8,noun.verb,4.1,4
purloin,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
putzes,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
quintillions,4,1,2,1,0.08,0.6990000000000001,0.01,0.301,noun,4.0,1.0,noun,4,4
quipu,4,1,2,1,0.08,0.6990000000000001,0.01,0.301,noun,4.0,1.0,noun,4,4
rearrests,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
recognisance,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
requiter,4,1,0,0,0.08,0.6990000000000001,0.01,0.301,noun,4.0,1.0,noun,4,4
rigamarole,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
rummies,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
sackers,4,1,2,1,0.08,0.6990000000000001,0.01,0.301,noun,4.0,1.0,noun,4,4
sailorman,4,1,4,1,0.08,0.6990000000000001,0.01,0.301,noun,4.0,1.0,noun,4,4
scallopini,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
scattergun,5,5,4,4,0.1,0.7782,0.06,0.7782,noun,4.0,0.8,noun.name,4.1,4
scotchmen,4,2,0,0,0.08,0.6990000000000001,0.02,0.4771,noun,4.0,1.0,noun,4,4
senhorita,5,3,3,3,0.1,0.7782,0.04,0.6021,noun,4.0,0.8,noun.name,4.1,4
senors,4,1,0,0,0.08,0.6990000000000001,0.01,0.301,noun,4.0,1.0,noun,4,4
setons,4,2,0,0,0.08,0.6990000000000001,0.02,0.4771,noun,4.0,1.0,noun,4,4
shakedowns,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
sharpers,4,1,4,1,0.08,0.6990000000000001,0.01,0.301,noun,4.0,1.0,noun,4,4
shellfire,4,3,3,3,0.08,0.6990000000000001,0.04,0.6021,noun,4.0,1.0,noun,4,4
shovelful,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
shucker,4,2,4,2,0.08,0.6990000000000001,0.02,0.4771,noun,4.0,1.0,noun,4,4
sickie,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
signori,4,3,1,1,0.08,0.6990000000000001,0.04,0.6021,noun,4.0,1.0,noun,4,4
sleepyheads,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
sord,5,1,0,0,0.1,0.7782,0.01,0.301,noun,4.0,0.8,noun.name,4.1,4
sparerib,5,5,5,5,0.1,0.7782,0.06,0.7782,noun,4.0,0.8,noun.verb,4.1,4
speechmaker,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
spicks,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
spinneys,4,1,4,1,0.08,0.6990000000000001,0.01,0.301,noun,4.0,1.0,noun,4,4
splutters,14,14,11,11,0.27,1.1761,0.17,1.1761,verb,10.0,0.71,verb.noun,10.4,4
squabs,6,4,4,3,0.12,0.8451,0.05,0.6990000000000001,noun,4.0,0.67,noun.name,4.2,4
squasher,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,noun,4.0,1.0,noun,4,4
squills,4,1,4,1,0.08,0.6990000000000001,0.01,0.301,noun,4.0,1.0,noun,4,4
squirty,31,5,3,3,0.61,1.5051,0.06,0.7782,name,9.0,0.53,name.noun.adjective,9.4.4,4
stampeder,4,2,3,1,0.08,0.6990000000000001,0.02,0.4771,noun,4.0,1.0,noun,4,4
starkers,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
stickum,4,2,4,2,0.08,0.6990000000000001,0.02,0.4771,noun,4.0,1.0,noun,4,4
stinkweed,6,5,6,5,0.12,0.8451,0.06,0.7782,noun,4.0,0.67,noun.verb,4.2,4
streetwalkers,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
strumpets,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
subverter,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
sunlamp,6,5,4,4,0.12,0.8451,0.06,0.7782,noun,4.0,0.67,noun.verb,4.2,4
suntans,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
supersecret,5,5,4,4,0.1,0.7782,0.06,0.7782,noun,4.0,0.8,noun.verb,4.1,4
supertrain,4,1,4,1,0.08,0.6990000000000001,0.01,0.301,noun,4.0,1.0,noun,4,4
swabbie,4,2,4,2,0.08,0.6990000000000001,0.02,0.4771,noun,4.0,1.0,noun,4,4
tagalong,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
teetotaller,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,noun,4.0,1.0,noun,4,4
thimbleful,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
thingamabobs,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
thingamajigs,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,noun,4.0,1.0,noun,4,4
thornbush,4,2,1,1,0.08,0.6990000000000001,0.02,0.4771,noun,4.0,1.0,noun,4,4
thunderation,4,4,2,2,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
tizwin,4,1,3,1,0.08,0.6990000000000001,0.01,0.301,noun,4.0,1.0,noun,4,4
touchhole,4,2,4,2,0.08,0.6990000000000001,0.02,0.4771,noun,4.0,1.0,noun,4,4
transilluminator,4,1,3,1,0.08,0.6990000000000001,0.01,0.301,noun,4.0,1.0,noun,4,4
traumatism,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,noun,4.0,1.0,noun,4,4
turnoffs,4,2,2,2,0.08,0.6990000000000001,0.02,0.4771,noun,4.0,1.0,noun,4,4
ultranationalist,4,3,3,3,0.08,0.6990000000000001,0.04,0.6021,noun,4.0,1.0,noun,4,4
undersecretaries,4,3,1,1,0.08,0.6990000000000001,0.04,0.6021,noun,4.0,1.0,noun,4,4
understudies,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
unloosen,4,4,2,2,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
upstair,5,5,4,4,0.1,0.7782,0.06,0.7782,noun,4.0,0.8,noun.verb,4.1,4
veals,4,2,0,0,0.08,0.6990000000000001,0.02,0.4771,noun,4.0,1.0,noun,4,4
veggieburger,4,2,3,1,0.08,0.6990000000000001,0.02,0.4771,noun,4.0,1.0,noun,4,4
veronal,4,3,0,0,0.08,0.6990000000000001,0.04,0.6021,noun,4.0,1.0,noun,4,4
vietminh,5,3,0,0,0.1,0.7782,0.04,0.6021,noun,4.0,0.8,noun.name,4.1,4
virgilia,8,1,0,0,0.16,0.9542,0.01,0.301,noun,4.0,0.5,noun.name,4.4,4
washtubs,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,noun,4.0,1.0,noun,4,4
wearies,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,noun,4.0,1.0,noun,4,4
weendigo,7,1,1,1,0.14,0.9031,0.01,0.301,noun,4.0,0.57,noun.name,4.3,4
whatsits,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
whittler,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
whupping,16,16,16,16,0.31,1.2304,0.19,1.2304,verb,12.0,0.75,verb.noun,12.4,4
woads,7,1,0,0,0.14,0.9031,0.01,0.301,noun,4.0,0.57,noun.verb,4.3,4
womaniser,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
womenfolks,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,4.0,1.0,noun,4,4
woofs,5,5,5,5,0.1,0.7782,0.06,0.7782,noun,4.0,1.0,noun,4,4
worrywart,5,5,4,4,0.1,0.7782,0.06,0.7782,noun,4.0,0.8,noun.name,4.1,4
xanthosis,9,1,3,1,0.18,1.0,0.01,0.301,noun,4.0,0.67,noun.name,4.2,4
yamp,4,1,4,1,0.08,0.6990000000000001,0.01,0.301,noun,4.0,1.0,noun,4,4
yarmulkes,4,2,1,1,0.08,0.6990000000000001,0.02,0.4771,noun,4.0,1.0,noun,4,4
yegg,6,3,5,3,0.12,0.8451,0.04,0.6021,noun,4.0,0.67,noun.verb.name,4.1.1,4
abiogenist,3,1,0,0,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
absinthes,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
agnate,5,1,5,1,0.1,0.7782,0.01,0.301,noun,3.0,0.6,noun.verb.adjective,3.1.1,3
akee,3,1,1,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
aleikum,3,1,2,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
alimonies,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
ambassadorship,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
anaglypta,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
andiron,3,1,2,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
antiestablishment,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
antivenin,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
arteriogram,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
artilleryman,3,3,2,2,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
astrobiologists,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
awapuhi,7,2,3,2,0.14,0.9031,0.02,0.4771,noun,3.0,0.43,noun.adjective.name,3.3.1,3
backseats,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
bacons,2,1,2,1,0.04,0.4771,0.01,0.301,noun,3.0,1.0,noun,3,3
badasses,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,noun,3.0,0.75,noun.verb,3.1,3
baggages,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
ballbuster,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
bandbox,3,3,1,1,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
bangtail,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
baobabs,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
beaners,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
bedposts,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
bellyaches,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
benefactress,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
bigmouths,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
bitchery,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
blasphemes,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
bleedings,3,3,2,2,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
blubberhead,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
bluecoats,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,3.0,0.75,noun.name,3.1,3
boastfulness,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
boatsman,3,2,2,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
bobsleds,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
bohunks,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
boneshaker,3,2,2,1,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
bootlicker,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
bootlickers,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
botheration,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
boudoirs,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
bowlful,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
braveness,3,3,2,2,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
brunhild,21,1,0,0,0.41,1.3424,0.01,0.301,name,13.0,0.62,name.verb.noun,13.5.3,3
bubber,3,1,0,0,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
bullyboys,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
bumbler,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
bumpiness,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
bunglers,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
bunkmates,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
burnoose,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
burrower,3,1,2,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
bushwhack,10,8,9,8,0.2,1.0414,0.1,0.9542,verb,7.0,0.7,verb.noun,7.3,3
butties,3,3,2,2,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
cabrito,4,1,0,0,0.08,0.6990000000000001,0.01,0.301,noun,3.0,0.75,noun.name,3.1,3
calaboose,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
calden,14,1,0,0,0.27,1.1761,0.01,0.301,name,11.0,0.79,name.noun,11.3,3
calloo,3,1,0,0,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
cannie,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
canoodling,17,7,14,7,0.33,1.2553,0.08,0.9031,verb,13.0,0.76,verb.noun.adjective,13.3.1,3
capons,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
carbonizer,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
cardsharp,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
carjackers,3,3,2,2,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
carrottop,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
catastasis,3,1,0,0,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
characterology,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
chemosynthesis,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
chrestomathy,3,2,0,0,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
clitoridectomy,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
clodhoppers,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
clubwoman,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
coachy,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
coattail,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
coelenterata,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
compulsives,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
coregent,3,1,2,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
cosmetician,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
cotillions,3,3,2,2,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
countertraction,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
courtships,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
crackerjacks,6,6,0,0,0.12,0.8451,0.07,0.8451,noun,3.0,0.5,noun.name,3.3,3
crewcut,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
crumby,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
cruzeiros,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
ctenophora,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
cubics,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
czardas,3,2,2,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
daintiness,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
danishes,9,4,6,3,0.18,1.0,0.05,0.6990000000000001,verb,6.0,0.67,verb.noun,6.3,3
decaff,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
decimator,3,1,0,0,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
decurion,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
defilade,5,1,3,1,0.1,0.7782,0.01,0.301,noun,3.0,0.6,noun.verb,3.2,3
depigmentation,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
deprogrammer,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
derisions,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
dictograph,3,2,1,1,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
dingdong,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
disbar,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,3.0,0.75,noun.name,3.1,3
dishtowels,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
disturbers,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
divorcement,4,3,2,2,0.08,0.6990000000000001,0.04,0.6021,noun,3.0,0.75,noun.name,3.1,3
dogfaces,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,3.0,0.75,noun.verb,3.1,3
doozies,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
dourine,4,1,3,1,0.08,0.6990000000000001,0.01,0.301,noun,3.0,0.75,noun.adjective,3.1,3
dowagers,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
downdraught,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
downstair,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
dribs,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
dropsies,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
dubba,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
dullards,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
earflaps,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
edgeways,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
eggbeaters,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
ejaculators,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
elevenses,3,3,2,2,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
embrasure,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
encephalogram,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
energico,8,1,0,0,0.16,0.9542,0.01,0.301,name,5.0,0.63,name.noun,5.3,3
enterpriser,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
epaulet,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
euthanasy,4,1,3,1,0.08,0.6990000000000001,0.01,0.301,noun,3.0,0.75,noun.adjective,3.1,3
eviler,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
exploders,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
extorsion,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
eyedrop,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
eyeholes,3,2,2,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
eyeshot,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
fetlocks,3,2,2,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
firetraps,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
fisherwoman,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
fitchee,3,1,0,0,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
flareup,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
flimflam,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
flincher,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
flophouses,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
flyspeck,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,3.0,0.75,noun.verb,3.1,3
fooler,3,3,2,2,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
footrace,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
forbearers,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
fordo,6,4,0,0,0.12,0.8451,0.05,0.6990000000000001,noun,3.0,0.5,noun.name,3.3,3
forewoman,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,noun,3.0,0.75,noun.name,3.1,3
foreyard,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
fornications,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
foulard,4,3,3,2,0.08,0.6990000000000001,0.04,0.6021,noun,3.0,0.75,noun.name,3.1,3
foutre,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
fraternising,11,4,10,3,0.22,1.0792,0.05,0.6990000000000001,verb,8.0,0.73,verb.noun,8.3,3
fritillaries,3,2,2,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
frontspiece,3,1,2,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
frumps,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
gamine,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
garnisher,3,1,3,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
gasbag,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
gatecrashers,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
gauleiter,3,3,1,1,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
gentlewomen,3,3,2,2,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
gibes,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
gimcracks,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
glassful,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
gleet,3,2,3,2,0.06,0.6021,0.02,0.4771,noun,3.0,1.0,noun,3,3
gleets,3,1,2,1,0.06,0.6021,0.01,0.301,noun,3.0,1.0,noun,3,3
glibness,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,3.0,1.0,noun,3,3
