Word,Subt_freq,Film_freq,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS,PoS_freqs,Adjective_freq
twangling,2,2,1,1,0.04,0.4771,0.02,0.4771,name,1.0,0.5,name.adjective,1.1,1
twant,5,5,5,5,0.1,0.7782,0.06,0.7782,adjective,1.0,1.0,adjective,1,1
tweezed,5,4,5,4,0.1,0.7782,0.05,0.6990000000000001,verb,4.0,0.8,verb.adjective,4.1,1
twirlier,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
umping,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unaccepting,2,2,2,2,0.04,0.4771,0.02,0.4771,noun,1.0,0.5,noun.adjective,1.1,1
unaccomplished,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unacquired,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unadmirable,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unadventurous,2,2,0,0,0.04,0.4771,0.02,0.4771,name,1.0,0.5,name.adjective,1.1,1
unaesthetic,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unaged,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unaidable,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unalike,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unappeased,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unapproached,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unarousable,1,1,0,0,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unastonished,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unathletic,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unattainted,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unavowed,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unbarred,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unbetrothed,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unblended,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unbooked,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unbooted,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unborrowed,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
