Word,Subt_freq,Film_freq,All_PoS,PoS_freqs,Noun_freq,Web_freq
retrieval,57,46,noun,57,57,5809664.0
strips,83,66,noun.verb,57.26,57,5791691.0
condos,57,50,noun,57,57,5466903.0
automobiles,57,50,noun,57,57,5099074.0
hackers,59,20,noun.name,57.2,57,4923452.0
scat,65,46,noun.name,57.8,57,4737410.0
wills,112,68,noun.name.verb,57.37.19,57,4376548.0
spill,432,356,verb.noun,372.57,57,3890646.0
homeowner,60,29,noun.name,57.3,57,3732354.0
hummer,70,40,noun.name,57.13,57,3200769.0
indications,57,52,noun,57,57,3195599.0
pines,61,39,noun.verb.name,57.2.2,57,3062800.0
ornament,58,51,noun.verb,57.1,57,3057576.0
transporter,82,26,noun.name,57.25,57,2941706.0
dismissal,57,50,noun,57,57,2915030.0
originals,58,40,noun,57,57,2899525.0
cortex,57,45,noun,57,57,2530902.0
similarities,57,50,noun,57,57,2524194.0
wildcats,81,22,noun.name,57.24,57,2516157.0
disadvantage,57,57,noun,57,57,2504267.0
reversal,57,46,noun,57,57,2425317.0
smiley,109,70,noun.name.adjective,57.47.5,57,2363430.0
rains,266,202,verb.noun.name,207.57.2,57,2183544.0
kennel,57,45,noun,57,57,1954777.0
booths,57,46,noun,57,57,1584453.0
sway,129,89,verb.noun.name,66.57.3,57,1540207.0
nightclubs,57,52,noun,57,57,1528451.0
finalists,57,36,noun,57,57,1435819.0
jogging,131,96,verb.noun,73.57,57,1407601.0
summons,81,61,noun.verb,57.24,57,1353994.0
candies,57,43,noun,57,57,1298890.0
flask,57,40,noun,57,57,1150132.0
tortoise,57,27,noun,57,57,1133746.0
montage,57,23,noun,57,57,985815.0
fuses,58,47,noun.verb,57.1,57,984514.0
crusader,57,46,noun,57,57,949772.0
sash,58,38,noun.name,57.1,57,907517.0
miscarriage,58,52,noun.name,57.2,57,875107.0
snowflake,60,37,noun.name,57.3,57,871518.0
carnage,57,46,noun,57,57,863190.0
libido,57,42,noun,57,57,836163.0
hermit,60,53,noun.verb,57.3,57,828204.0
fanfare,57,44,noun,57,57,802594.0
sob,77,75,noun.verb,57.20,57,797503.0
clockwork,58,53,noun.name,57.1,57,751820.0
sidelines,57,53,noun,57,57,739031.0
eels,61,24,noun.name,57.3,57,732927.0
continuance,57,37,noun,57,57,714003.0
tarts,57,35,noun,57,57,706018.0
leech,89,50,noun.name.verb,57.28.4,57,698609.0
schoolhouse,57,28,noun,57,57,670098.0
pang,81,31,noun.name,57.24,57,665803.0
sedation,58,45,noun,57,57,662829.0
nephews,55,43,noun,57,57,662609.0
sponges,58,43,noun.verb,57.1,57,642645.0
massages,59,51,noun.verb,57.2,57,625667.0
corkscrew,57,44,noun,57,57,581475.0
purgatory,57,36,noun,57,57,581266.0
barons,50,24,noun,57,57,569865.0
frosting,72,60,noun.verb,57.15,57,560844.0
mush,143,92,verb.noun.name,80.57.6,57,552867.0
conqueror,57,40,noun,57,57,550776.0
napalm,77,37,noun.name.verb,57.14.6,57,540829.0
saucers,58,39,noun,57,57,538238.0
informants,58,31,noun,57,57,513364.0
thermos,57,36,noun,57,57,505376.0
tidings,57,46,noun,57,57,498841.0
wart,63,53,noun.verb,57.5,57,497136.0
bleachers,59,52,noun.name,57.1,57,428198.0
shrinks,77,65,noun.verb,57.19,57,425178.0
cubans,57,33,noun,57,57,424531.0
prodigal,57,51,noun,57,57,419302.0
hypocrites,57,46,noun,57,57,388764.0
gob,568,71,name.verb.noun,405.104.57,57,387903.0
stomachs,57,52,noun,57,57,357533.0
shenanigans,60,47,noun.name,57.3,57,345202.0
pistachio,77,23,noun.name,57.19,57,338100.0
lockup,69,57,noun.verb,57.12,57,329124.0
dud,64,42,noun.adjective,57.7,57,273654.0
wingman,57,36,noun,57,57,250649.0
hematoma,57,47,noun,57,57,210994.0
debrief,58,45,noun.name,57.1,57,153096.0
cesspool,63,53,noun.verb,57.6,57,127870.0
sicko,58,48,noun.name,57.1,57,86555.0
archive,67,46,noun.verb,56.11,56,111971865.0
fi,75,46,noun.name,56.15,56,41812484.0
agriculture,56,40,noun,56,56,29217130.0
appliances,56,49,noun,56,56,23847029.0
transactions,56,50,noun,56,56,23104294.0
diversity,56,40,noun,56,56,19048481.0
committees,55,41,noun,56,56,18497349.0
python,79,41,noun.name,56.21,56,17610578.0
descriptions,56,55,noun,56,56,17257437.0
spanking,93,75,noun.verb.adjective.name,56.31.5.1,56,13673436.0
promotions,56,41,noun,56,56,13378320.0
resolve,247,210,verb.noun,190.56,56,10441751.0
staying,3040,2085,verb.noun.adjective,2968.56.13,56,8900981.0
christianity,56,44,noun,56,56,8886615.0
rover,170,91,name.noun,114.56,56,8537021.0
minerals,56,46,noun,56,56,8326767.0
replica,56,51,noun,56,56,7904448.0
analysts,56,38,noun,56,56,7400631.0
programmer,56,34,noun,56,56,6945578.0
fo,95,60,noun.name,56.17,56,5935254.0
belle,413,95,name.noun.unclassified,312.56.44,56,5820002.0
skating,251,130,verb.noun,195.56,56,5660985.0
moss,145,78,name.noun.verb,80.56.9,56,5518013.0
lm,73,40,noun.name,56.45,56,5167463.0
bead,57,48,noun.verb,56.1,56,4916807.0
projections,56,44,noun,56,56,4842834.0
neighborhoods,54,48,noun,56,56,4735936.0
dwelling,68,58,noun.verb,56.12,56,4629441.0
sands,108,68,noun.name,56.52,56,4428127.0
csi,117,63,noun.name.adjective,56.37.21,56,3722907.0
mammals,56,45,noun,56,56,3639188.0
cheating,948,603,verb.noun.adjective,854.56.37,56,3615902.0
ness,137,63,name.noun,78.56,56,3430085.0
memoirs,56,42,noun,56,56,3384732.0
verses,56,37,noun,56,56,3104329.0
tokens,56,34,noun,56,56,2613416.0
surfers,62,26,noun.name,56.6,56,2546274.0
camper,73,48,noun.adjective.name,56.11.3,56,2208353.0
steer,305,237,verb.noun.name,233.56.16,56,2159937.0
vests,56,40,noun,56,56,2056167.0
peck,180,84,name.noun.verb,79.56.44,56,1961752.0
latch,98,73,noun.verb.name,56.39.4,56,1777882.0
juices,56,52,noun,56,56,1709952.0
margarita,71,58,noun.name,56.14,56,1570778.0
monoxide,58,40,noun,56,56,1515230.0
golfer,56,39,noun,56,56,1508058.0
choke,330,272,verb.noun,272.56,56,1448146.0
cavern,56,32,noun,56,56,1364330.0
flashlights,56,46,noun,56,56,1322939.0
intrigue,77,72,noun.verb,56.21,56,1250162.0
attendants,56,49,noun,56,56,1171665.0
chainsaw,55,30,noun,56,56,1082641.0
darcy,159,24,name.noun,103.56,56,1073638.0
funnel,56,46,noun,56,56,1073571.0
winch,69,44,noun.verb,56.12,56,1016374.0
swearing,124,110,verb.noun,68.56,56,940094.0
gags,58,38,noun.verb,56.2,56,908238.0
libel,56,30,noun,56,56,866830.0
buildup,59,52,noun.verb,56.2,56,795268.0
cholera,56,33,noun,56,56,794749.0
sideshow,56,46,noun,56,56,782188.0
gist,56,47,noun,56,56,686228.0
huts,56,39,noun,56,56,677145.0
cannibal,56,44,noun,56,56,662720.0
moors,57,27,noun,56,56,577097.0
tentacles,56,42,noun,56,56,575086.0
heroism,56,48,noun,56,56,567544.0
allo,66,21,noun.name,56.9,56,548744.0
slacks,56,42,noun,56,56,511225.0
hatches,56,41,noun,56,56,486551.0
walrus,57,40,noun.name,56.1,56,478325.0
archaeologist,57,32,noun.name,56.1,56,450722.0
larynx,58,43,noun.verb,56.1,56,388698.0
lovemaking,56,48,noun,56,56,357295.0
scapegoat,56,49,noun,56,56,350164.0
testicle,58,45,noun,56,56,337355.0
casings,56,39,noun,56,56,315098.0
cadaver,60,36,noun.verb.name,56.3.1,56,300424.0
lieutenants,56,49,noun,56,56,239361.0
buckaroo,86,25,noun.name,56.30,56,225541.0
gunpoint,57,53,noun,56,56,211695.0
smalls,60,18,noun.name,56.4,56,201676.0
abrasions,56,50,noun,56,56,172990.0
infuser,56,34,noun,56,56,58967.0
muggers,56,32,noun,56,56,51868.0
submission,55,47,noun,55,55,22066279.0
excess,156,137,adjective.noun.preposition,70.55.31,55,17149887.0
console,114,93,verb.noun,59.55,55,17121643.0
modem,55,40,noun,55,55,15984492.0
metabolism,55,47,noun,55,55,14391891.0
essays,55,45,noun,55,55,14183871.0
merchants,55,46,noun,55,55,14033655.0
pointer,55,33,noun,55,55,11475647.0
preservation,55,44,noun,55,55,9427816.0
scholarships,55,44,noun,55,55,9190488.0
invalid,88,66,noun.adjective,55.33,55,8718056.0
baptist,118,75,noun.adjective.name,55.38.25,55,8600706.0
metals,55,46,noun,55,55,8345314.0
motels,55,54,noun,55,55,7671328.0
architects,55,38,noun,55,55,6905009.0
aerospace,55,34,noun,55,55,6769942.0
deficit,55,52,noun,55,55,6564569.0
boutique,55,48,noun,55,55,6242143.0
writings,54,41,noun,55,55,5816200.0
achievements,55,52,noun,55,55,5607204.0
tribunal,55,28,noun,55,55,5589955.0
mixer,55,49,noun,55,55,5558245.0
backing,324,278,verb.noun.adjective,266.55.3,55,5397022.0
observers,55,41,noun,55,55,4796192.0
cares,2023,1555,verb.noun,1969.55,55,4757269.0
accountants,55,47,noun,55,55,4461356.0
hex,66,31,noun.verb.name,55.6.5,55,4217438.0
mayo,166,83,name.noun,111.55,55,4021666.0
tumors,55,36,noun,55,55,3973566.0
wizards,55,36,noun,55,55,3769098.0
radiology,103,65,noun.name,55.48,55,3683754.0
vin,156,77,name.noun,101.55,55,3627453.0
checker,56,38,noun.name,55.1,55,3577995.0
ticker,55,45,noun,55,55,3505466.0
piper,1554,170,name.noun,1497.55,55,3346631.0
dreaming,939,668,verb.noun.adjective,876.55.8,55,3136420.0
comprehension,55,53,noun,55,55,2870530.0
sax,64,37,noun.verb.name,55.5.5,55,2819089.0
diva,78,27,noun.name,55.23,55,2707438.0
disruption,51,35,noun,55,55,2578410.0
gull,56,27,noun.name,55.1,55,2301164.0
nitrate,55,33,noun,55,55,2075633.0
watering,109,98,verb.noun,55.55,55,2050112.0
armada,55,35,noun,55,55,2044394.0
roxy,129,39,name.noun.adjective,65.55.9,55,2026103.0
caterpillar,57,34,noun.name,55.1,55,1947305.0
particulars,55,51,noun,55,55,1803128.0
trait,55,54,noun,55,55,1705417.0
boa,66,25,noun.name,55.10,55,1692885.0
contraction,55,39,noun,55,55,1688692.0
proclamation,55,35,noun,55,55,1590224.0
newcomer,55,43,noun,55,55,1431456.0
hoses,55,41,noun,55,55,1416325.0
guerrilla,55,34,noun,55,55,1362022.0
severance,56,52,noun.name,55.1,55,1254666.0
insecurity,55,50,noun,55,55,1246155.0
flaps,73,52,noun.verb,55.18,55,1163036.0
cocoon,57,46,noun.name,55.2,55,1129091.0
rift,55,40,noun,55,55,1119873.0
vibes,55,50,noun,55,55,1073710.0
peroxide,55,40,noun,55,55,1028613.0
aptitude,55,41,noun,55,55,1014706.0
seniority,55,48,noun,55,55,1014348.0
interruptions,55,50,noun,55,55,937384.0
coon,64,34,noun.name,55.9,55,918690.0
ducts,55,39,noun,55,55,907928.0
descendant,55,42,noun,55,55,868120.0
uplink,75,53,noun.verb.name,55.19.1,55,838389.0
takers,55,47,noun,55,55,793151.0
rundown,74,67,noun.adjective,55.19,55,742924.0
stead,54,44,noun,55,55,724786.0
culprit,55,49,noun,55,55,722061.0
snowball,71,54,noun.name.verb,55.11.5,55,696495.0
tact,56,54,noun,55,55,679597.0
repercussions,55,46,noun,55,55,664658.0
blueberries,55,35,noun,55,55,591420.0
kimono,55,29,noun,55,55,586714.0
soot,55,35,noun,55,55,573490.0
oars,55,32,noun,55,55,534885.0
anecdote,55,41,noun,55,55,528528.0
rhubarb,55,29,noun,55,55,499529.0
squaw,67,39,noun.name.verb,55.7.5,55,463592.0
crucifix,60,48,noun.verb.name,55.4.1,55,446602.0
crossbow,56,28,noun.verb,55.1,55,439568.0
armadillo,154,21,name.noun,98.55,55,393754.0
goof,113,70,noun.verb.name,55.37.21,55,352334.0
poise,56,35,noun.verb,55.1,55,339263.0
guacamole,56,45,noun.name,55.1,55,271897.0
spooks,69,47,noun.verb,55.14,55,267985.0
airstrip,57,40,noun.verb,55.2,55,259227.0
piggyback,55,42,noun,55,55,248018.0
fastball,59,32,noun.name,55.3,55,246909.0
werent,2,2,adjective.noun,93.55,55,223593.0
townspeople,55,47,noun,55,55,215672.0
bunks,55,35,noun,55,55,214252.0
figment,55,46,noun,55,55,197373.0
scurvy,55,48,noun,55,55,188500.0
concubine,64,29,noun.verb.name,55.8.1,55,152241.0
peekaboo,57,35,noun.name,55.1,55,117785.0
matey,61,37,noun.name,55.6,55,104596.0
lordy,108,65,noun.name,55.53,55,88710.0
arrivederci,60,47,noun.name,55.5,55,21581.0
strategies,54,51,noun,54,54,36860865.0
compact,86,70,noun.adjective.verb,54.31.1,54,25317344.0
genre,54,40,noun,54,54,22344091.0
intellectual,234,188,adjective.noun.name,180.54.1,54,19591717.0
designers,54,42,noun,54,54,16990742.0
purchases,54,46,noun,54,54,14768992.0
heather,558,124,name.noun,586.54,54,9170875.0
volumes,54,49,noun,54,54,9076451.0
berry,178,99,name.noun,124.54,54,7551906.0
tier,54,30,noun,54,54,7089353.0
entrepreneur,55,47,noun.name,54.1,54,6902698.0
enzyme,54,21,noun,54,54,6450842.0
strand,94,64,noun.name,54.40,54,6383185.0
exec,55,32,noun.name,54.1,54,6175969.0
loops,58,45,noun.verb,54.4,54,5439483.0
flora,114,39,name.noun,60.54,54,4756211.0
recruit,188,133,verb.noun,134.54,54,4397367.0
slopes,56,48,noun.verb,54.2,54,3390340.0
energies,55,47,noun,54,54,3186813.0
discoveries,54,46,noun,54,54,3166453.0
realization,54,48,noun,54,54,3125978.0
chestnut,65,50,noun.name,54.10,54,2951306.0
censorship,54,33,noun,54,54,2475227.0
endeavor,76,67,noun.verb.name,54.17.5,54,2277610.0
saxon,130,15,adjective.noun.name,71.54.6,54,2118651.0
blockbuster,54,46,noun,54,54,1873840.0
sparrow,133,58,name.noun,79.54,54,1853517.0
prognosis,54,48,noun,54,54,1746165.0
hush,388,274,interjection.verb.noun.name,221.108.54.1,54,1714301.0
appetizers,54,44,noun,54,54,1711415.0
nuggets,63,46,noun.verb.name,54.7.1,54,1676486.0
railroads,54,38,noun,54,54,1555995.0
africans,54,23,noun,54,54,1540301.0
clitoris,54,21,noun,54,54,1424208.0
imbalance,54,49,noun,54,54,1407312.0
commando,54,46,noun,54,54,1354026.0
wreath,54,42,noun,54,54,1330354.0
rivalry,54,49,noun,54,54,1218286.0
weeping,162,134,verb.noun.adjective,66.54.41,54,1175714.0
regulars,61,55,noun.name,54.6,54,1091657.0
hedges,71,42,noun.name,54.17,54,1081636.0
alcoholics,54,39,noun,54,54,1078769.0
indifference,55,50,noun,54,54,1066924.0
piranha,60,35,noun.name,54.5,54,889332.0
edema,54,44,noun,54,54,873634.0
stronghold,60,21,noun.name,54.6,54,863984.0
nook,54,40,noun,54,54,841950.0
moths,54,36,noun,54,54,804700.0
umpire,54,30,noun,54,54,795626.0
weaponry,54,50,noun,54,54,795170.0
adversity,54,48,noun,54,54,769501.0
mercenary,98,75,noun.adjective,54.44,54,758335.0
dwarfs,55,41,noun.verb,54.1,54,748098.0
shitty,371,283,adjective.noun.name,310.54.7,54,730189.0
scarecrow,89,41,noun.name.verb,54.19.14,54,707651.0
acquaintances,54,48,noun,54,54,660243.0
violins,54,47,noun,54,54,645187.0
carburetor,55,44,noun.name,54.1,54,599510.0
rabble,54,42,noun,54,54,561223.0
gauze,73,56,noun.verb.name,54.18.1,54,556178.0
lorry,61,14,noun.name,54.5,54,549887.0
fugitives,54,48,noun,54,54,528765.0
rubies,54,44,noun,54,54,525361.0
schizophrenic,117,90,adjective.noun,63.54,54,469379.0
marshmallow,77,58,noun.verb.name,54.12.11,54,435955.0
flak,54,38,noun,54,54,426989.0
spunk,68,46,noun.verb.name,54.8.6,54,404915.0
nacho,67,18,noun.name,54.13,54,392622.0
jimbo,163,50,name.noun,108.54,54,388096.0
pusher,64,49,noun.name,54.8,54,384445.0
backer,54,24,noun.name,54.2,54,358798.0
doghouse,57,46,noun.name,54.3,54,332874.0
farts,74,57,noun.verb,54.20,54,325011.0
sodas,54,52,noun,54,54,299348.0
tortures,54,47,noun,54,54,270191.0
wedlock,54,45,noun,54,54,268858.0
stockbroker,54,41,noun,54,54,225887.0
goatee,54,38,noun,54,54,172102.0
governess,54,27,noun,54,54,169263.0
repairman,54,42,noun,54,54,164402.0
lawman,58,29,noun.name,54.4,54,130613.0
sideburns,59,38,noun.verb,54.5,54,122025.0
lobotomy,55,39,noun,54,54,120585.0
goober,75,23,noun.name,54.20,54,108007.0
phooey,59,41,noun.name,54.5,54,91510.0
hostiles,70,45,noun.name.verb,54.13.3,54,32533.0
bonsoir,63,42,noun.name,54.4,54,31336.0
heinie,58,49,noun.name,54.4,54,25702.0
produce,564,438,verb.noun,509.53,53,35383071.0
kits,53,46,noun,53,53,24034484.0
hybrid,104,72,noun.adjective,53.51,53,13174794.0
diameter,53,47,noun,53,53,12059691.0
cad,53,46,noun,53,53,11431260.0
recruiting,117,91,verb.noun,64.53,53,9662362.0
inflation,53,49,noun,53,53,8567769.0
supporters,53,45,noun,53,53,8197749.0
invoice,53,40,noun,53,53,7705574.0
obituaries,53,41,noun,53,53,7294410.0
snapshot,53,44,noun,53,53,7254276.0
dentists,53,34,noun,53,53,5722434.0
marsh,179,60,name.noun,118.53,53,5073104.0
adviser,53,45,noun,53,53,4911485.0
deficiency,53,39,noun,53,53,4505086.0
foil,62,53,noun.verb.name,53.8.1,53,4476123.0
vans,53,47,noun,53,53,4437716.0
margins,53,43,noun,53,53,4428969.0
sioux,110,44,adjective.noun,57.53,53,4055518.0
swallow,649,476,verb.noun.name,560.53.34,53,3832303.0
verb,54,37,noun,53,53,3726924.0
linens,53,42,noun,53,53,3207974.0
aftermath,53,51,noun,53,53,3018203.0
lesions,53,35,noun,53,53,2917531.0
epilepsy,53,33,noun,53,53,2737962.0
seminary,53,36,noun,53,53,2706256.0
blitz,64,54,noun.verb,53.11,53,2476009.0
watchdog,53,43,noun,53,53,2365031.0
sandbox,54,46,noun.name,53.1,53,2215370.0
knobs,53,41,noun,53,53,2151258.0
fakes,79,44,noun.verb,53.26,53,1833800.0
corridors,52,46,noun,53,53,1745227.0
morales,65,23,noun.name,53.12,53,1709780.0
ferret,83,47,noun.verb.name,53.23.7,53,1543424.0
straits,53,27,noun,53,53,1520307.0
manifestation,53,48,noun,53,53,1520142.0
bikinis,53,38,noun,53,53,1501192.0
anus,56,41,noun.name,53.3,53,1472531.0
trombone,65,47,noun.verb.name,53.11.1,53,1464599.0
rampage,53,51,noun,53,53,1365049.0
ethic,53,45,noun,53,53,1333320.0
atrocities,53,43,noun,53,53,1234612.0
flashback,54,48,noun,53,53,1189561.0
rebirth,53,48,noun,53,53,1182806.0
gopher,72,41,noun.name.verb,53.13.6,53,1171418.0
councilman,72,35,noun.name,53.19,53,1097516.0
goodnight,822,299,interjection.noun,767.53,53,1078842.0
halves,56,45,noun.verb,53.3,53,1070410.0
dossier,56,43,noun.name.adjective,53.2.1,53,1031628.0
asher,122,22,name.noun,68.53,53,863144.0
pinky,282,75,name.noun,227.53,53,672775.0
barrage,53,39,noun,53,53,635351.0
pranks,53,41,noun,53,53,630189.0
liege,57,23,noun.name,53.3,53,598284.0
anthropologist,53,42,noun,53,53,549689.0
choreographer,53,33,noun,53,53,544863.0
horsemen,53,27,noun,53,53,544447.0
horseman,61,24,noun.name,53.8,53,535405.0
violets,53,37,noun,53,53,521391.0
obscenity,53,29,noun,53,53,507129.0
gander,55,53,noun.name,53.2,53,506552.0
plums,53,27,noun,53,53,496751.0
provocation,53,51,noun,53,53,492334.0
gulls,53,24,noun,53,53,485882.0
streetcar,65,49,noun.name,53.12,53,471936.0
keyhole,53,41,noun,53,53,469732.0
awol,117,85,noun.name.verb,53.51.13,53,462384.0
mishap,53,45,noun,53,53,426099.0
quarts,54,41,noun,53,53,407855.0
jeepers,53,28,noun,53,53,276825.0
wouldn,23628,6982,noun.verb.name,53.44.4,53,251599.0
deadbeat,88,67,noun.verb.name,53.31.2,53,239104.0
firecracker,54,50,noun.name,53.1,53,233352.0
looker,53,49,noun,53,53,184565.0
gunfight,58,45,noun.verb.name,53.4.1,53,159629.0
heathens,53,40,noun,53,53,158022.0
hubba,64,21,noun.name,53.10,53,126157.0
sadist,55,47,noun,53,53,116146.0
indiscretion,53,42,noun,53,53,113009.0
ladyship,53,23,noun,53,53,87667.0
stomachache,54,45,noun,53,53,37876.0
blackmailer,54,38,noun,53,53,24957.0
p,3345,1643,letter.name.noun,286.80.52,52,303249898.0
aids,54,41,noun.verb,52.3,52,33155753.0
legislation,52,35,noun,52,52,29932251.0
variables,52,44,noun,52,52,24020805.0
jerry,3173,570,name.noun,3111.52,52,13908229.0
choosing,276,244,verb.noun,224.52,52,12717377.0
recycling,80,64,noun.verb,52.28,52,11079315.0
receptor,52,10,noun,52,52,9823615.0
clinics,50,37,noun,52,52,8270209.0
insights,52,42,noun,52,52,7579690.0
zoning,61,51,noun.verb,52.9,52,7285410.0
luther,611,148,name.verb.noun,364.186.52,52,6328857.0
plastics,52,35,noun,52,52,6124848.0
salaries,52,43,noun,52,52,6117284.0
alloy,52,45,noun,52,52,5468839.0
optic,52,38,noun,52,52,4558869.0
rails,53,44,noun.verb,52.1,52,4364886.0
dioxide,52,34,noun,52,52,4276462.0
fiesta,64,35,noun.name,52.12,52,4094679.0
reconciliation,52,41,noun,52,52,3854902.0
mania,52,35,noun,52,52,3688699.0
cloning,57,26,noun.verb,52.5,52,3638136.0
cylinders,54,40,noun,52,52,3363442.0
desks,54,51,noun,52,52,3315227.0
protests,55,48,noun.verb,52.4,52,3303934.0
babylon,120,42,name.noun,68.52,52,3284724.0
kappa,53,35,noun.name,52.1,52,2793667.0
blaster,52,26,noun,52,52,2791850.0
instability,52,43,noun,52,52,2706582.0
tycoon,52,45,noun,52,52,2432605.0
roadside,52,50,noun,52,52,2298262.0
chefs,52,40,noun,52,52,2252629.0
trillion,52,42,noun,52,52,2070561.0
valleys,52,37,noun,52,52,2045542.0
metropolis,52,31,noun,52,52,2013253.0
bam,361,228,verb.noun.name,288.52.17,52,1994832.0
digestion,52,46,noun,52,52,1733208.0
carbs,54,45,noun.verb,52.2,52,1715865.0
toxins,52,37,noun,52,52,1646568.0
artifact,56,30,noun.verb,52.4,52,1586626.0
germ,64,51,noun.verb.name,52.9.1,52,1574711.0
revelations,53,40,noun,52,52,1541983.0
mural,52,34,noun,52,52,1367338.0
chests,52,51,noun,52,52,1337446.0
intestine,52,47,noun,52,52,1292080.0
lumbar,52,43,noun,52,52,1264361.0
spectators,52,44,noun,52,52,1241932.0
detergent,52,43,noun,52,52,1211009.0
unrest,52,49,noun,52,52,1160513.0
warts,52,39,noun,52,52,1122886.0
sphinx,52,31,noun,52,52,1082363.0
guile,52,27,noun,52,52,1026260.0
barbarian,92,52,noun.adjective,52.39,52,1008628.0
avenger,120,30,name.noun.verb,62.52.6,52,892897.0
squeak,121,62,verb.noun.name,68.52.1,52,871207.0
phobia,52,40,noun,52,52,865143.0
hideaway,52,37,noun,52,52,803405.0
compromises,52,49,noun,52,52,778348.0
tombs,56,39,noun.name,52.4,52,742507.0
steed,130,45,name.noun,70.52,52,701658.0
banshee,57,23,noun.name,52.5,52,655401.0
overalls,52,44,noun,52,52,616138.0
brigadier,52,27,noun,52,52,602807.0
locksmith,52,42,noun,52,52,577318.0
molasses,52,39,noun,52,52,559840.0
mormons,52,23,noun,52,52,556828.0
cynic,56,49,noun.name,52.2,52,525906.0
loophole,52,42,noun,52,52,518925.0
swordfish,52,24,noun,52,52,486206.0
brie,46,31,noun.name,52.22,52,483604.0
drifter,54,37,noun.name,52.1,52,476711.0
tweezers,52,44,noun,52,52,465378.0
discord,52,17,noun,52,52,447668.0
extermination,52,38,noun,52,52,439786.0
beets,52,28,noun,52,52,439436.0
barricade,75,50,noun.verb,52.23,52,425797.0
haircuts,52,50,noun,52,52,347724.0
foxtrot,55,26,noun.verb,52.3,52,345544.0
hooligans,52,42,noun,52,52,313863.0
minefield,52,41,noun,52,52,272802.0
fireflies,52,28,noun,52,52,262490.0
bellman,55,31,noun.name,52.3,52,259168.0
puppeteer,63,10,noun.verb.name,52.6.5,52,133071.0
charades,52,39,noun,52,52,80019.0
main,2179,1400,adjective.name.noun.adverb,2009.113.51.3,51,199616754.0
low,3016,2041,adjective.adverb.noun.name.verb,2700.201.51.49.5,51,184815478.0
categories,51,46,noun,51,51,173839008.0
q,617,334,letter.noun.name,218.51.19,51,139563801.0
brands,52,39,noun.verb,51.1,51,51697361.0
galleries,51,33,noun,51,51,46800115.0
ordering,369,324,verb.noun,317.51,51,27856930.0
financing,85,72,noun.verb,51.33,51,23013544.0
employers,51,47,noun,51,51,18278335.0
proteins,51,30,noun,51,51,16404833.0
disclosure,51,40,noun,51,51,15072865.0
gi,55,15,noun.verb,51.1,51,12673643.0
cartridges,51,40,noun,51,51,12611549.0
decor,52,44,noun,51,51,12098868.0
latex,74,49,noun.verb,51.23,51,10502825.0
equations,50,41,noun,51,51,9545165.0
chem,96,71,noun.verb.name,51.22.15,51,8419917.0
expressions,51,51,noun,51,51,8407890.0
refuse,1070,849,verb.noun,1018.51,51,7906739.0
una,86,48,noun.name,51.35,51,6999910.0
bind,171,141,verb.noun,120.51,51,6677053.0
frost,245,90,name.noun.verb,186.51.8,51,5940685.0
expiration,52,50,noun.name,51.1,51,5479431.0
poultry,51,42,noun,51,51,5148028.0
insulation,51,43,noun,51,51,5074667.0
freestyle,56,24,noun.name,51.5,51,4180142.0
exploitation,51,41,noun,51,51,4023362.0
observatory,51,31,noun,51,51,3940254.0
hurricanes,51,33,noun,51,51,3785008.0
ornaments,51,38,noun,51,51,3653618.0
capitalism,51,43,noun,51,51,3640757.0
neurons,51,29,noun,51,51,3522853.0
promoter,51,41,noun,51,51,3416706.0
columnist,51,36,noun,51,51,3297677.0
brides,47,40,noun,51,51,3047745.0
elm,73,47,noun.name,51.21,51,2957553.0
genocide,62,45,noun.verb,51.11,51,2790711.0
beanie,78,38,noun.name,51.27,51,2351093.0
topaz,51,6,noun,51,51,2348935.0
soaps,52,43,noun.verb,51.1,51,2347810.0
folds,52,46,noun.verb,51.1,51,2282227.0
snatch,199,171,verb.noun,148.51,51,2256983.0
ceilings,51,43,noun,51,51,2143491.0
horsepower,62,49,noun.verb,51.10,51,2068922.0
weave,105,96,verb.noun,53.51,51,1965230.0
conduit,53,42,noun.name,51.2,51,1845238.0
engagements,51,46,noun,51,51,1730526.0
graders,52,43,noun,51,51,1703102.0
outing,51,45,noun,51,51,1684303.0
starch,69,58,noun.verb.name,51.13.4,51,1617686.0
horseshoe,52,40,noun,51,51,1487445.0
clipper,59,40,noun.name,51.7,51,1449564.0
umbrellas,51,40,noun,51,51,1449421.0
bayou,68,31,noun.name,51.17,51,1397958.0
yelling,1087,766,verb.noun.adjective,1024.51.8,51,1395556.0
quail,68,40,noun.verb.name,51.14.3,51,1278967.0
wasnt,10,9,verb.noun,395.51,51,1262688.0
masquerade,82,45,noun.verb.name,51.28.2,51,1202457.0
collie,53,24,noun.name,51.2,51,1191722.0
eraser,51,28,noun,51,51,1166247.0
rupture,66,41,noun.verb,51.15,51,1145976.0
hubby,51,44,noun,51,51,1080886.0
gonzo,100,21,noun.name,51.48,51,1046835.0
lilo,79,5,noun.name,51.27,51,1038025.0
trucker,61,40,noun.name,51.10,51,971864.0
doves,51,36,noun,51,51,941403.0
lazarus,97,32,noun.name,51.46,51,930966.0
rodents,51,44,noun,51,51,922613.0
shorthand,51,40,noun,51,51,904902.0
snuff,102,61,verb.noun,51.51,51,861230.0
jeweler,53,40,noun,51,51,840136.0
fluff,72,54,noun.verb.name,51.19.2,51,814535.0
