Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Noun_freq
miss,23850,5432,8516,4163,467.65,4.3775,64.76,3.735,Noun,15492.0,0.65,Noun.Verb.Name,15492.8330.13,15492
honey,15325,4185,9954,3549,300.49,4.1854,49.89,3.6218,Noun,15257.0,1.0,Noun.Name,15257.22,15257
stuff,15653,5429,15337,5392,306.92,4.1946,64.72,3.7348,Noun,14883.0,0.95,Noun.Verb,14883.765,14883
door,14895,5286,14339,5228,292.06,4.1731,63.02,3.7232,Noun,14863.0,1.0,Noun,14863,14863
right,204428,8320,181467,8310,4008.39,5.3105,99.19,3.9202,Adverb,148137.0,0.73,Adverb.Adjective.Noun.Verb.Name,148137.41292.14475.200.76,14475
brother,14481,3795,12937,3681,283.94,4.1608,45.24,3.5793,Noun,14452.0,1.0,Noun.Name,14452.13,14452
year,14174,4981,13091,4891,277.92,4.1515,59.38,3.6974,Noun,14154.0,1.0,Noun,14154,14154
doctor,13461,3703,9101,3267,263.94,4.1291,44.15,3.5687,Noun,13350.0,1.0,Noun.Verb.Name,13350.28.11,13350
phone,13756,4502,13087,4436,269.73,4.1385,53.67,3.6535,Noun,13225.0,0.96,Noun.Verb.Name,13225.512.2,13225
hand,14262,5562,13466,5431,279.65,4.1542,66.31,3.7453,Noun,13177.0,0.92,Noun.Verb.Name,13177.1049.20,13177
cause,15812,4946,9988,4274,310.04,4.199,58.97,3.6943,Noun,13050.0,0.83,Noun.Verb,13050.2732,13050
part,13337,5604,12790,5508,261.51,4.1251,66.81,3.7486,Noun,12942.0,0.97,Noun.Adverb.Verb.Preposition.Name,12942.209.125.49.2,12942
town,12644,4116,12250,4047,247.92,4.1019,49.07,3.6146,Noun,12608.0,1.0,Noun.Name,12608.32,12608
mind,24715,6870,23477,6771,484.61,4.393,81.9,3.837,Noun,12457.0,0.5,Noun.Verb.Name,12457.12222.1,12457
heart,12453,4582,11952,4507,244.18,4.0953,54.63,3.6611,Noun,12443.0,1.0,Noun.Name,12443.1,12443
care,24748,6945,24275,6903,485.25,4.3936,82.8,3.8417,Verb,12467.0,0.5,Verb.Noun,12467.12278,12278
number,12288,4542,10586,4332,240.94,4.0895,54.15,3.6573,Noun,12247.0,1.0,Noun.Verb.Name.Adjective,12247.29.4.3,12247
week,12164,5024,12051,5001,238.51,4.0851,59.9,3.7011,Noun,12155.0,1.0,Noun,12155,12155
chance,12303,5343,12079,5334,241.24,4.09,63.7,3.7279,Noun,12082.0,0.98,Noun.Name.Verb.Unclassified,12082.186.17.4,12082
police,12044,3369,9934,3146,236.16,4.0808,40.16,3.5276,Noun,11959.0,0.99,Noun.Verb.Name,11959.62.9,11959
word,12013,5147,11452,5030,235.55,4.0797,61.36,3.7116,Noun,11955.0,1.0,Noun.Verb,11955.54,11955
face,14747,5610,14152,5529,289.16,4.1687,66.88,3.749,Noun,11894.0,0.81,Noun.Verb.Preposition,11894.2839.2,11894
case,14403,4885,14006,4849,282.41,4.1585,58.24,3.689,Noun,11861.0,0.82,Noun.Conjunction.Adverb.Preposition.Name.Verb,11861.1990.300.160.62.28,11861
party,11890,3724,11254,3620,233.14,4.0752,44.4,3.5711,Noun,11809.0,0.99,Noun.Verb.Name,11809.72.7,11809
game,11926,3774,11451,3698,233.84,4.0765,44.99,3.5769,Noun,11721.0,0.98,Noun.Verb.Adjective.Name,11721.163.23.1,11721
ass,11545,3379,11381,3359,226.37,4.0624,40.28,3.5289,Noun,11537.0,1.0,Noun.Name,11537.2,11537
water,11478,4127,10619,3999,225.06,4.0599,49.2,3.6157,Noun,11362.0,0.99,Noun.Verb.Name,11362.94.8,11362
story,11260,4265,11048,4208,220.78,4.0516,50.85,3.63,Noun,11246.0,1.0,Noun.Name,11246.1,11246
couple,11394,4989,10892,4873,223.41,4.0567,59.48,3.6981,Noun,11184.0,0.98,Noun.Verb,11184.202,11184
home,39491,7452,38202,7405,774.33,4.5965,88.84,3.8723,Adverb,28280.0,0.72,Adverb.Noun.Verb.Name,28280.11099.31.2,11099
trouble,11401,4785,11010,4724,223.55,4.057,57.05,3.68,Noun,11042.0,0.97,Noun.Verb.Name,11042.341.3,11042
death,11051,4278,9811,4118,216.69,4.0434,51.0,3.6313,Noun,11024.0,1.0,Noun.Name,11024.23,11024
lady,11071,4129,8981,3792,217.08,4.0442,49.23,3.616,Noun,11013.0,1.0,Noun.Name,11013.20,11013
person,10857,4712,10784,4688,212.88,4.0357,56.18,3.6733,Noun,10845.0,1.0,Noun.Name,10845.2,10845
point,12063,5202,11289,5072,236.53,4.0815,62.02,3.7163,Noun,10826.0,0.9,Noun.Verb.Name.Adverb.Adjective,10826.1053.148.19.4,10826
gun,10873,2976,10548,2928,213.2,4.0364,35.48,3.4738,Noun,10813.0,1.0,Noun.Verb,10813.37,10813
captain,10622,1785,2630,953,208.27,4.0262,21.28,3.2519,Noun,10579.0,1.0,Noun.Name.Verb,10579.21.9,10579
matter,18900,6242,18687,6217,370.59,4.2765,74.42,3.7954,Noun,10513.0,0.56,Noun.Verb.Determiner.Adjective.Adverb.Pronoun,10513.4277.1521.1380.1103.89,10513
office,10399,3975,9913,3902,203.9,4.017,47.39,3.5994,Noun,10388.0,1.0,Noun.Name,10388.5,10388
dinner,10336,3958,9643,3853,202.67,4.0144,47.19,3.5976,Noun,10323.0,1.0,Noun,10323,10323
side,10247,4725,9820,4646,200.92,4.0106,56.33,3.6745,Noun,10173.0,0.99,Noun.Verb,10173.64,10173
line,10515,4539,10060,4455,206.18,4.0219,54.11,3.6571,Noun,9959.0,0.95,Noun.Verb.Preposition.Name,9959.507.34.4,9959
body,9972,3961,9740,3912,195.53,3.9988,47.22,3.5979,Noun,9946.0,1.0,Noun.Name,9946.1,9946
husband,9935,3377,9797,3359,194.8,3.9972,40.26,3.5287,Noun,9857.0,0.99,Noun.Verb.Name,9857.48.4,9857
truth,9801,4193,9350,4095,192.18,3.9913,49.99,3.6226,Noun,9787.0,1.0,Noun,9787,9787
look,99311,8290,56177,8107,1947.27,4.997,98.83,3.9186,Verb,89292.0,0.9,Verb.Noun.Name,89292.9750.5,9750
dog,9835,3049,8851,2935,192.84,3.9928,36.35,3.4843,Noun,9735.0,0.99,Noun.Verb.Name,9735.86.4,9735
moment,9539,4391,9482,4374,187.04,3.9795,52.35,3.6427,Noun,9526.0,1.0,Noun,9526,9526
bed,9543,4113,9407,4094,187.12,3.9797,49.03,3.6143,Noun,9495.0,1.0,Noun.Verb,9495.29,9495
reason,9858,4828,9783,4805,193.29,3.9938,57.56,3.6839,Noun,9488.0,0.96,Noun.Verb.Preposition,9488.334.26,9488
blood,9492,3526,8698,3393,186.12,3.9774,42.04,3.5474,Noun,9460.0,1.0,Noun.Name.Verb,9460.14.11,9460
question,10116,4587,9854,4528,198.35,4.0051,54.69,3.6616,Noun,9391.0,0.93,Noun.Verb,9391.718,9391
daddy,9439,2645,2455,1238,185.08,3.975,31.53,3.4226,Noun,9381.0,1.0,Noun.Name,9381.13,9381
help,46977,7745,39534,7651,921.12,4.6719,92.33,3.8891,Verb,37660.0,0.8,Verb.Noun.Name,37660.9218.8,9218
sister,9207,3046,7971,2911,180.53,3.9642,36.31,3.4839,Noun,9170.0,1.0,Noun.Name,9170.9,9170
show,24906,6630,21991,6367,488.35,4.3963,79.04,3.8216,Verb,15690.0,0.63,Verb.Noun.Name,15690.9164.8,9164
end,13559,5673,12881,5552,265.86,4.1323,67.63,3.7539,Noun,9153.0,0.68,Noun.Verb.Name,9153.4327.33,9153
rest,10861,5142,10547,5082,212.96,4.0359,61.3,3.7112,Noun,9099.0,0.84,Noun.Verb,9099.1757,9099
deal,13330,5231,12637,5123,261.37,4.1249,62.36,3.7187,Noun,9068.0,0.68,Noun.Verb.Adverb,9068.3702.546,9068
war,8912,2546,7448,2218,174.75,3.95,30.35,3.406,Noun,8905.0,1.0,Noun.Name,8905.3,8905
book,9026,3244,8226,3075,176.98,3.9555,38.67,3.5112,Noun,8749.0,0.97,Noun.Verb.Name,8749.246.11,8749
daughter,8739,2993,8576,2957,171.35,3.9415,35.68,3.4763,Noun,8722.0,1.0,Noun,8722,8722
city,8624,3321,5760,2637,169.1,3.9358,39.59,3.5214,Noun,8609.0,1.0,Noun.Name,8609.7,8609
second,14513,5734,13210,5498,284.57,4.1618,68.36,3.7585,Noun,8473.0,0.58,Noun.Number.Verb.Name,8473.5969.51.18,8473
news,8399,3976,7681,3838,164.69,3.9243,47.4,3.5996,Noun,8382.0,1.0,Noun.Name,8382.3,8382
hour,8277,4343,8175,4323,162.29,3.9179,51.78,3.6379,Noun,8274.0,1.0,Noun,8274,8274
call,43931,7556,38761,7453,861.39,4.6428,90.08,3.8783,Verb,35593.0,0.81,Verb.Noun.Name,35593.8262.5,8262
country,8254,3298,8030,3244,161.84,3.9167,39.32,3.5184,Noun,8228.0,1.0,Noun.Name,8228.6,8228
fire,10990,3948,9099,3704,215.49,4.041,47.07,3.5965,Noun,8175.0,0.75,Noun.Verb.Name,8175.2785.5,8175
fuck,19307,1734,12350,1541,378.57,4.2857,20.67,3.2393,Verb,11091.0,0.58,Verb.Noun.Name,11091.8168.11,8168
child,8040,3067,7673,2995,157.65,3.9053,36.56,3.4869,Noun,8027.0,1.0,Noun.Name,8027.1,8027
food,7876,3605,7355,3494,154.43,3.8964,42.98,3.557,Noun,7869.0,1.0,Noun.Name,7869.2,7869
hair,7831,3632,7535,3582,153.55,3.8939,43.3,3.5603,Noun,7819.0,1.0,Noun.Name,7819.1,7819
luck,7840,3874,7609,3815,153.73,3.8944,46.19,3.5883,Noun,7775.0,0.99,Noun.Name,7775.56,7775
sex,7761,2490,7147,2392,152.18,3.89,29.69,3.3964,Noun,7726.0,1.0,Noun.Verb.Name,7726.21.5,7726
music,7734,2699,6912,2508,151.65,3.8885,32.18,3.4314,Noun,7717.0,1.0,Noun.Name,7717.3,7717
street,7557,3411,5281,2861,148.18,3.8784,40.67,3.533,Noun,7532.0,1.0,Noun.Name,7532.14,7532
power,7600,2980,7049,2854,149.02,3.8809,35.53,3.4744,Noun,7530.0,0.99,Noun.Verb.Name,7530.54.17,7530
company,7507,3283,6473,3073,147.2,3.8755,39.14,3.5164,Noun,7493.0,1.0,Noun.Name,7493.1,7493
fact,8801,4369,8649,4339,172.57,3.9446,52.09,3.6405,Noun,7423.0,0.84,Noun.Adjective,7423.1380,7423
coffee,7371,3039,6559,2876,144.53,3.8676,36.23,3.4829,Noun,7349.0,1.0,Noun.Name,7349.9,7349
team,7528,2623,6765,2473,147.61,3.8767,31.27,3.419,Noun,7263.0,0.97,Noun.Verb.Name,7263.241.3,7263
air,7090,3325,6023,3132,139.02,3.8507,39.64,3.5219,Noun,7043.0,1.0,Noun.Verb.Name,7043.27.3,7043
picture,7061,3178,6868,3119,138.45,3.8489,37.89,3.5023,Noun,6601.0,0.93,Noun.Verb,6601.459,6601
drink,12617,4353,11605,4198,247.39,4.101,51.9,3.6389,Noun,6454.0,0.51,Noun.Verb,6454.6147,6454
date,7218,2987,7068,2947,141.53,3.8585,35.61,3.4754,Noun,6440.0,0.89,Noun.Verb.Adjective,6440.689.100,6440
hospital,6334,2611,5727,2472,124.2,3.8017,31.13,3.417,Noun,6328.0,1.0,Noun.Name,6328.1,6328
piece,6349,3510,6090,3426,124.49,3.8028,41.85,3.5454,Noun,6323.0,1.0,Noun.Verb,6323.21,6323
uncle,6327,1865,2225,1059,124.06,3.8013,22.23,3.2709,Noun,6304.0,1.0,Noun.Name,6304.6,6304
movie,6271,2101,6103,2066,122.96,3.7974,25.05,3.3226,Noun,6268.0,1.0,Noun.Name,6268.2,6268
king,6592,1688,3319,993,129.25,3.8191,20.12,3.2276,Noun,6258.0,0.95,Noun.Name,6258.332,6258
sense,6722,3839,6671,3825,131.8,3.8276,45.77,3.5843,Noun,6247.0,0.93,Noun.Verb,6247.467,6247
shot,11599,4236,11300,4185,227.43,4.0645,50.5,3.6271,Noun,6236.0,0.54,Noun.Verb.Name,6236.5360.1,6236
fun,12010,4632,11650,4589,235.49,4.0796,55.22,3.6659,Noun,6172.0,0.51,Noun.Adjective.Name,6172.5815.3,6172
million,6145,2528,6091,2519,120.49,3.7886,30.14,3.4029,Noun,6141.0,1.0,Noun,6141,6141
evening,6155,2803,5716,2681,120.69,3.7893,33.42,3.4478,Noun,6134.0,1.0,Noun.Verb,6134.13,6134
bit,11987,5084,11793,5059,235.04,4.0787,60.61,3.7063,Noun,6057.0,0.51,Noun.Adverb.Verb.Name,6057.5284.638.1,6057
boss,6339,2333,5071,2216,124.29,3.8021,27.81,3.3681,Noun,5989.0,0.95,Noun.Verb.Name,5989.239.101,5989
class,5985,2445,5569,2353,117.35,3.7771,29.15,3.3885,Noun,5955.0,0.99,Noun.Verb.Adjective.Name,5955.18.12.3,5955
law,5932,2517,5421,2413,116.31,3.7733,30.01,3.4011,Noun,5908.0,1.0,Noun.Name,5908.19,5908
president,7174,1551,3077,1103,140.67,3.8558,18.49,3.1909,Noun,5724.0,0.8,Noun.Name,5724.1436,5724
road,5709,2766,5043,2567,111.94,3.7566,32.98,3.442,Noun,5690.0,1.0,Noun.Name,5690.12,5690
eye,5701,3216,5464,3157,111.78,3.756,38.34,3.5075,Noun,5672.0,1.0,Noun.Name,5672.24,5672
plan,7432,3528,7109,3476,145.73,3.8712,42.06,3.5477,Noun,5671.0,0.76,Noun.Verb.Name,5671.1758.3,5671
light,8425,3924,7737,3767,165.2,3.9256,46.78,3.5938,Noun,5589.0,0.66,Noun.Adjective.Verb.Preposition.Adverb.Name,5589.1591.1067.145.14.3,5589
table,5387,2889,5136,2826,105.63,3.7314,34.44,3.4609,Noun,5365.0,1.0,Noun.Verb.Name,5365.14.1,5365
dream,6798,2809,6418,2729,133.29,3.8324,33.49,3.4487,Noun,5353.0,0.79,Noun.Verb.Name,5353.1441.1,5353
ball,5353,2070,4973,2005,104.96,3.7287,24.68,3.3162,Noun,5294.0,0.99,Noun.Verb.Name,5294.28.16,5294
mouth,5325,3022,5133,2979,104.41,3.7264,36.03,3.4804,Noun,5292.0,1.0,Noun.Verb.Name,5292.23.2,5292
fault,5310,3101,5291,3091,104.12,3.7252,36.97,3.4916,Noun,5278.0,0.99,Noun.Verb,5278.29,5278
lieutenant,5306,886,758,349,104.04,3.7248,10.56,2.9479,Noun,5275.0,1.0,Noun.Name,5275.16,5275
mama,5289,1478,1787,849,103.71,3.7235,17.62,3.17,Noun,5271.0,1.0,Noun.Name,5271.1,5271
paper,5271,2626,4995,2557,103.35,3.722,31.31,3.4195,Noun,5266.0,1.0,Noun.Verb.Name,5266.3.3,5266
lunch,5310,2637,4997,2561,104.12,3.7252,31.44,3.4213,Noun,5242.0,0.99,Noun.Verb,5242.70,5242
