Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Preposition_freq
cross,2807,1700,2080,1436,55.04,3.4484,20.27,3.2307,Verb,1548.0,0.55,Verb.Noun.Name.Adjective.Preposition,1548.1069.129.42.15,15
regards,258,236,243,224,5.06,2.4133,2.81,2.3747,Verb,228.0,0.88,Verb.Preposition.Noun,228.15.15,15
defiance,57,53,48,47,1.12,1.7634,0.63,1.7324,Noun,43.0,0.75,Noun.Preposition,43.14,14
association,414,309,204,170,8.12,2.618,3.68,2.4914,Noun,402.0,0.97,Noun.Preposition,402.13,13
ere,120,55,100,43,2.35,2.0828,0.66,1.7482,Adverb,55.0,0.47,Adverb.Conjunction.Preposition,55.50.13,13
excluding,26,24,17,15,0.51,1.4314,0.29,1.3979,Verb,13.0,0.5,Verb.Preposition,13.13,13
barring,33,32,23,23,0.65,1.5315,0.38,1.5185,Verb,22.0,0.67,Verb.Preposition,22.11,11
betwixt,12,9,12,9,0.24,1.1139,0.11,1.0,Preposition,11.0,0.92,Preposition.Adverb,11.1,11
cooperation,407,337,393,327,7.98,2.6107,4.02,2.5289,Noun,395.0,0.97,Noun.Preposition,395.11,11
notwithstanding,51,49,43,43,1.0,1.716,0.58,1.699,Adverb,40.0,0.78,Adverb.Preposition,40.11,11
bar,4385,2220,3980,2091,85.98,3.6421,26.47,3.3465,Noun,4199.0,0.96,Noun.Verb.Adjective.Preposition.Name,4199.113.52.9.6,9
aid,709,496,613,448,13.9,2.8513,5.91,2.6964,Noun,604.0,0.85,Noun.Verb.Preposition.Name,604.95.8.1,8
excepting,16,15,10,9,0.31,1.2304,0.18,1.2041,Verb,9.0,0.56,Verb.Preposition,9.7,7
reply,245,183,221,175,4.8,2.3909,2.18,2.2648,Noun,144.0,0.59,Noun.Verb.Preposition,144.94.7,7
subsequent,64,63,62,62,1.25,1.8129,0.75,1.8062,Adjective,57.0,0.89,Adjective.Preposition,57.7,7
x,1051,565,170,133,20.61,3.022,6.74,2.7528,Letter,559.0,0.84,Letter.Number.Preposition,559.102.7,7
accord,83,66,77,63,1.63,1.9243,0.79,1.8261,Noun,62.0,0.82,Noun.Verb.Preposition,62.8.6,6
nr,8,5,7,4,0.16,0.9542,0.06,0.7782,Preposition,6.0,1.0,Preposition,6,6
defence,409,207,358,190,8.02,2.6128,2.47,2.3181,Noun,402.0,0.99,Noun.Preposition,402.5,5
proportion,139,127,138,127,2.73,2.1461,1.51,2.1072,Noun,133.0,0.96,Noun.Preposition,133.5,5
astride,8,7,8,7,0.16,0.9542,0.08,0.9031,Preposition,4.0,0.5,Preposition.Adverb,4.4,4
