Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Verb_freq
butt,1967,1295,1856,1255,38.57,3.294,15.44,3.1126,Noun,1728.0,0.88,Noun.Verb.Name,1728.236.2,236
fan,1792,1097,1562,1037,35.14,3.2536,13.08,3.0406,Noun,1531.0,0.86,Noun.Verb.Name,1531.236.23,236
handing,238,220,221,206,4.67,2.3784,2.62,2.3444,Verb,236.0,1.0,Verb.Noun,236.1,236
shop,2731,1613,2564,1545,53.55,3.4365,19.23,3.2079,Noun,2492.0,0.91,Noun.Verb,2492.236,236
beeping,329,163,274,131,6.45,2.5185,1.94,2.2148,Verb,235.0,0.71,Verb.Noun.Name.Adjective,235.47.40.7,235
commence,235,164,142,122,4.61,2.3729,1.96,2.2175,Verb,235.0,1.0,Verb,235,235
snuck,236,226,230,221,4.63,2.3747,2.69,2.356,Verb,235.0,1.0,Verb,235,235
spying,279,223,258,212,5.47,2.4472,2.66,2.3502,Verb,235.0,0.84,Verb.Noun,235.45,235
stir,301,250,274,234,5.9,2.48,2.98,2.3997,Verb,235.0,0.78,Verb.Noun,235.67,235
unload,235,191,198,170,4.61,2.3729,2.28,2.2833,Verb,235.0,1.0,Verb,235,235
abort,235,118,117,81,4.61,2.3729,1.41,2.0755,Verb,234.0,1.0,Verb,234,234
flirting,271,209,241,194,5.31,2.4346,2.49,2.3222,Verb,234.0,0.87,Verb.Noun.Adjective.Name,234.19.9.8,234
invent,235,198,228,192,4.61,2.3729,2.36,2.2989,Verb,234.0,1.0,Verb.Noun,234.1,234
sha,85,32,12,8,1.67,1.9345,0.38,1.5185,Verb,234.0,1.0,Verb,234,234
sought,240,206,236,202,4.71,2.382,2.46,2.316,Verb,234.0,0.98,Verb.Adjective,234.6,234
treats,317,276,302,264,6.22,2.5024,3.29,2.4425,Verb,234.0,0.74,Verb.Noun,234.83,234
figures,949,764,817,651,18.61,2.9777,9.11,2.8837,Noun,715.0,0.75,Noun.Verb,715.233,233
steer,305,237,260,210,5.98,2.4857,2.83,2.3766,Verb,233.0,0.76,Verb.Noun.Name,233.56.16,233
appointed,270,232,269,231,5.29,2.433,2.77,2.3674,Verb,232.0,0.86,Verb.Adjective,232.38,232
disappears,232,203,226,199,4.55,2.3674,2.42,2.3096,Verb,232.0,1.0,Verb,232,232
flee,233,167,214,154,4.57,2.3692,1.99,2.2253,Verb,232.0,1.0,Verb,232,232
flown,232,196,228,192,4.55,2.3674,2.34,2.2945,Verb,232.0,1.0,Verb,232,232
representing,233,200,226,193,4.57,2.3692,2.38,2.3032,Verb,232.0,1.0,Verb.Adjective,232.1,232
acquainted,231,204,229,204,4.53,2.3655,2.43,2.3118,Verb,231.0,1.0,Verb,231,231
link,609,399,479,379,11.94,2.7853,4.76,2.6021,Noun,373.0,0.62,Noun.Verb.Name,373.231.2,231
waving,266,231,253,221,5.22,2.4265,2.75,2.3655,Verb,231.0,0.87,Verb.Adjective,231.34,231
committing,231,203,213,191,4.53,2.3655,2.42,2.3096,Verb,230.0,1.0,Verb.Noun,230.1,230
contained,235,198,233,196,4.61,2.3729,2.36,2.2989,Verb,230.0,0.98,Verb.Adjective,230.5,230
controls,398,302,385,298,7.8,2.601,3.6,2.4814,Verb,230.0,0.58,Verb.Noun,230.169,230
coughing,251,165,207,139,4.92,2.4014,1.97,2.2201,Verb,230.0,0.92,Verb.Noun,230.19,230
installed,230,202,226,199,4.51,2.3636,2.41,2.3075,Verb,230.0,1.0,Verb,230,230
pinned,231,196,221,189,4.53,2.3655,2.34,2.2945,Verb,230.0,0.99,Verb.Adjective,230.2,230
programmed,243,168,236,164,4.76,2.3874,2.0,2.2279,Verb,230.0,0.95,Verb.Adjective.Noun,230.12.1,230
rehearse,230,167,218,162,4.51,2.3636,1.99,2.2253,Verb,230.0,1.0,Verb,230,230
strangled,250,163,232,152,4.9,2.3997,1.94,2.2148,Verb,230.0,0.91,Verb.Adjective,230.24,230
sunk,237,187,229,185,4.65,2.3766,2.23,2.2742,Verb,230.0,0.97,Verb.Adjective,230.6,230
despise,230,192,229,192,4.51,2.3636,2.29,2.2856,Verb,229.0,1.0,Verb,229,229
liking,320,290,310,283,6.27,2.5065,3.46,2.4639,Verb,229.0,0.72,Verb.Noun,229.90,229
pose,347,256,329,247,6.8,2.5416,3.05,2.4099,Verb,229.0,0.67,Verb.Noun,229.113,229
repeating,270,222,253,209,5.29,2.433,2.65,2.3483,Verb,229.0,0.85,Verb.Adjective,229.41,229
violated,233,208,231,206,4.57,2.3692,2.48,2.3201,Verb,229.0,0.99,Verb.Adjective,229.2,229
addicted,231,143,213,130,4.53,2.3655,1.7,2.1584,Verb,228.0,0.99,Verb.Adjective,228.3,228
charging,320,265,254,223,6.27,2.5065,3.16,2.4249,Verb,228.0,0.71,Verb.Noun.Adjective,228.48.44,228
discharged,226,176,213,171,4.43,2.356,2.1,2.248,Verb,228.0,1.0,Verb,228,228
holler,301,228,264,212,5.9,2.48,2.72,2.3598,Verb,228.0,0.76,Verb.Noun.Name,228.63.10,228
panicked,262,224,249,215,5.14,2.42,2.67,2.3522,Verb,228.0,0.88,Verb.Adjective.Name,228.24.7,228
regards,258,236,243,224,5.06,2.4133,2.81,2.3747,Verb,228.0,0.88,Verb.Preposition.Noun,228.15.15,228
cherish,227,162,181,146,4.45,2.3579,1.93,2.2122,Verb,227.0,1.0,Verb,227,227
dared,228,201,225,199,4.47,2.3598,2.4,2.3054,Verb,227.0,1.0,Verb,227,227
rubbing,241,214,230,206,4.73,2.3838,2.55,2.3324,Verb,227.0,0.94,Verb.Noun,227.15,227
worrying,827,688,806,673,16.22,2.918,8.2,2.8382,Adjective,597.0,0.72,Adjective.Verb,597.227,227
alarm,1522,898,1422,855,29.84,3.1827,10.71,2.9538,Noun,1294.0,0.85,Noun.Verb,1294.226,226
boil,303,255,271,234,5.94,2.4829,3.04,2.4082,Verb,226.0,0.75,Verb.Noun,226.77,226
level,2633,1590,2442,1542,51.63,3.4206,18.96,3.2017,Noun,2233.0,0.85,Noun.Verb.Adjective.Adverb,2233.226.171.1,226
tapped,228,197,221,195,4.47,2.3598,2.35,2.2967,Verb,226.0,0.99,Verb.Noun.Adjective,226.1.1,226
top,6805,3606,6080,3440,133.43,3.8329,42.99,3.5571,Noun,3655.0,0.54,Noun.Adjective.Preposition.Verb.Name,3655.1807.1111.226.2,226
endure,225,185,224,184,4.41,2.3541,2.21,2.2695,Verb,225.0,1.0,Verb,225,225
forbidden,387,268,318,239,7.59,2.5888,3.2,2.4298,Verb,225.0,0.58,Verb.Adjective,225.164,225
haunted,379,241,342,225,7.43,2.5798,2.87,2.3838,Verb,225.0,0.59,Verb.Adjective,225.154,225
promote,225,190,220,187,4.41,2.3541,2.27,2.281,Verb,225.0,1.0,Verb,225,225
sacrificed,224,183,219,182,4.39,2.3522,2.18,2.2648,Verb,225.0,1.0,Verb,225,225
stalking,269,208,256,203,5.27,2.4314,2.48,2.3201,Verb,225.0,0.84,Verb.Noun.Adjective,225.42.2,225
answers,1527,1099,1493,1086,29.94,3.1841,13.1,3.0414,Noun,1307.0,0.85,Noun.Verb,1307.224,224
choosing,276,244,257,229,5.41,2.4425,2.91,2.3892,Verb,224.0,0.81,Verb.Noun,224.52,224
fled,224,184,214,180,4.39,2.3522,2.19,2.2672,Verb,224.0,1.0,Verb,224,224
referred,225,197,223,195,4.41,2.3541,2.35,2.2967,Verb,224.0,1.0,Verb.Adjective,224.1,224
rose,2704,831,689,462,53.02,3.4322,9.91,2.9201,Noun,1295.0,0.48,Noun.Name.Verb.Adjective,1295.1157.224.24,224
stinking,473,376,448,359,9.27,2.6758,4.48,2.5763,Adjective,226.0,0.48,Adjective.Verb.Noun.Name,226.224.20.3,224
strip,800,596,610,480,15.69,2.9036,7.11,2.776,Noun,578.0,0.72,Noun.Verb,578.224,224
brace,319,214,142,119,6.25,2.5051,2.55,2.3324,Verb,223.0,0.7,Verb.Noun.Name,223.81.13,223
frame,719,527,691,513,14.1,2.8573,6.28,2.7226,Noun,496.0,0.69,Noun.Verb,496.223,223
jack,12831,1650,364,278,251.59,4.1083,19.67,3.2177,Name,12306.0,0.96,Name.Noun.Verb,12306.236.223,223
participate,224,197,222,197,4.39,2.3522,2.35,2.2967,Verb,223.0,1.0,Verb,223,223
protest,448,305,425,294,8.78,2.6522,3.64,2.4857,Noun,226.0,0.5,Noun.Verb,226.223,223
stitch,381,148,171,137,7.47,2.5821,1.76,2.1732,Verb,223.0,0.59,Verb.Noun.Name,223.155.3,223
trusting,294,264,269,247,5.76,2.4698,3.15,2.4232,Verb,223.0,0.76,Verb.Adjective,223.71,223
undo,223,187,191,166,4.37,2.3502,2.23,2.2742,Verb,223.0,1.0,Verb,223,223
cries,356,281,338,273,6.98,2.5527,3.35,2.4502,Verb,222.0,0.62,Verb.Noun,222.134,222
developing,286,254,281,249,5.61,2.4579,3.03,2.4065,Verb,222.0,0.78,Verb.Adjective.Noun,222.62.1,222
hack,436,288,351,269,8.55,2.6405,3.43,2.4609,Verb,222.0,0.51,Verb.Noun.Name,222.170.41,222
hiring,279,235,265,223,5.47,2.4472,2.8,2.3729,Verb,222.0,0.8,Verb.Noun,222.57,222
issue,1741,1188,1722,1181,34.14,3.241,14.16,3.0752,Noun,1520.0,0.87,Noun.Verb,1520.222,222
perfect,8091,3915,6687,3502,158.65,3.9081,46.67,3.5928,Adjective,7858.0,0.97,Adjective.Verb,7858.222,222
permitted,222,196,222,196,4.35,2.3483,2.34,2.2945,Verb,222.0,1.0,Verb.Noun,222.1,222
plans,2867,1883,2793,1862,56.22,3.4576,22.45,3.2751,Noun,2645.0,0.92,Noun.Verb,2645.222,222
remained,223,191,222,191,4.37,2.3502,2.28,2.2833,Verb,222.0,1.0,Verb,222,222
traded,222,184,207,175,4.35,2.3483,2.19,2.2672,Verb,222.0,1.0,Verb.Adjective,222.1,222
drowning,368,285,341,270,7.22,2.567,3.4,2.4564,Verb,221.0,0.6,Verb.Noun.Adjective,221.85.60,221
experiencing,221,189,216,187,4.33,2.3464,2.25,2.2788,Verb,221.0,1.0,Verb,221,221
faking,230,157,219,153,4.51,2.3636,1.87,2.1987,Verb,221.0,0.96,Verb.Noun.Adjective,221.6.3,221
hating,232,195,219,187,4.55,2.3674,2.32,2.2923,Verb,221.0,0.95,Verb.Noun.Adjective.Name,221.5.4.2,221
noted,245,227,199,188,4.8,2.3909,2.71,2.3579,Verb,221.0,0.91,Verb.Adjective,221.23,221
strangle,223,176,217,171,4.37,2.3502,2.1,2.248,Verb,221.0,0.99,Verb.Noun,221.3,221
tripped,221,184,216,180,4.33,2.3464,2.19,2.2672,Verb,221.0,1.0,Verb,221,221
blackmail,394,260,343,234,7.73,2.5966,3.1,2.4166,Verb,220.0,0.56,Verb.Noun,220.175,220
boarding,564,378,531,366,11.06,2.752,4.51,2.5786,Noun,344.0,0.61,Noun.Verb,344.220,220
embarrassed,1093,834,1061,822,21.43,3.039,9.94,2.9217,Adjective,871.0,0.8,Adjective.Verb,871.220,220
healed,220,180,215,177,4.31,2.3444,2.15,2.2577,Verb,220.0,1.0,Verb,220,220
jam,690,461,592,413,13.53,2.8395,5.5,2.6646,Noun,470.0,0.68,Noun.Verb,470.220,220
organize,220,198,206,185,4.31,2.3444,2.36,2.2989,Verb,220.0,1.0,Verb,220,220
poke,298,229,252,207,5.84,2.4757,2.73,2.3617,Verb,220.0,0.74,Verb.Noun,220.77,220
reduce,219,185,199,172,4.29,2.3424,2.21,2.2695,Verb,220.0,1.0,Verb,220,220
scratched,228,195,219,187,4.47,2.3598,2.32,2.2923,Verb,220.0,0.96,Verb.Adjective,220.8,220
shutting,220,189,204,179,4.31,2.3444,2.25,2.2788,Verb,220.0,1.0,Verb,220,220
traced,220,193,216,190,4.31,2.3444,2.3,2.2878,Verb,220.0,1.0,Verb.Adjective,220.1,220
achieved,219,189,215,185,4.29,2.3424,2.25,2.2788,Verb,219.0,1.0,Verb,219,219
agrees,219,198,217,197,4.29,2.3424,2.36,2.2989,Verb,219.0,1.0,Verb,219,219
approached,220,197,220,197,4.31,2.3444,2.35,2.2967,Verb,219.0,1.0,Verb.Adjective,219.1,219
board,3272,1682,2920,1575,64.16,3.5149,20.05,3.2261,Noun,2372.0,0.73,Noun.Adverb.Verb.Preposition,2372.641.219.32,219
confront,218,190,203,179,4.27,2.3404,2.27,2.281,Verb,219.0,1.0,Verb,219,219
dine,219,169,209,168,4.29,2.3424,2.01,2.2304,Verb,219.0,1.0,Verb,219,219
fights,614,437,595,429,12.04,2.7889,5.21,2.6415,Noun,396.0,0.64,Noun.Verb,396.219,219
notified,219,194,218,194,4.29,2.3424,2.31,2.29,Verb,219.0,1.0,Verb,219,219
proving,229,209,206,189,4.49,2.3617,2.49,2.3222,Verb,219.0,0.96,Verb.Adjective.Noun,219.9.1,219
requesting,222,186,185,162,4.35,2.3483,2.22,2.2718,Verb,219.0,0.99,Verb.Noun,219.2,219
skate,301,123,277,122,5.9,2.48,1.47,2.0934,Verb,219.0,0.73,Verb.Noun,219.82,219
swinging,313,254,274,228,6.14,2.4969,3.03,2.4065,Verb,219.0,0.7,Verb.Adjective,219.94,219
expelled,230,136,221,134,4.51,2.3636,1.62,2.1367,Verb,218.0,0.95,Verb.Adjective,218.12,218
gasping,220,123,158,86,4.31,2.3444,1.47,2.0934,Verb,218.0,1.0,Verb.Noun,218.1,218
watches,406,328,392,317,7.96,2.6096,3.91,2.5172,Verb,218.0,0.53,Verb.Noun,218.190,218
equipped,217,190,212,187,4.25,2.3385,2.27,2.281,Verb,217.0,1.0,Verb,217,217
steals,223,193,214,185,4.37,2.3502,2.3,2.2878,Verb,217.0,0.99,Verb.Noun,217.2,217
wrecked,272,221,261,213,5.33,2.4362,2.63,2.3464,Verb,217.0,0.8,Verb.Adjective,217.54,217
bugging,234,194,229,194,4.59,2.3711,2.31,2.29,Verb,216.0,0.92,Verb.Noun.Adjective.Name,216.9.8.1,216
compromised,251,211,247,209,4.92,2.4014,2.52,2.3263,Verb,216.0,0.86,Verb.Adjective,216.35,216
froze,216,178,211,173,4.24,2.3365,2.12,2.2529,Verb,216.0,1.0,Verb,216,216
reduced,248,220,238,214,4.86,2.3962,2.62,2.3444,Verb,216.0,0.87,Verb.Adjective,216.32,216
vanquish,243,92,231,90,4.76,2.3874,1.1,1.9685,Verb,216.0,0.89,Verb.Adjective.Noun,216.23.4,216
advance,815,654,752,617,15.98,2.9117,7.8,2.8162,Noun,592.0,0.73,Noun.Verb.Adjective,592.215.7,215
clearing,331,291,310,273,6.49,2.5211,3.47,2.4654,Verb,215.0,0.65,Verb.Noun.Adjective,215.84.33,215
hacked,215,177,119,100,4.22,2.3345,2.11,2.2504,Verb,215.0,1.0,Verb,215,215
intercept,215,153,197,143,4.22,2.3345,1.82,2.1875,Verb,215.0,1.0,Verb,215,215
mount,597,400,198,164,11.71,2.7767,4.77,2.6031,Noun,373.0,0.62,Noun.Verb.Name,373.215.9,215
reserved,258,221,251,216,5.06,2.4133,2.63,2.3464,Verb,215.0,0.83,Verb.Adjective,215.43,215
assured,316,287,312,284,6.2,2.5011,3.42,2.4594,Verb,214.0,0.68,Verb.Adjective,214.102,214
delay,562,457,520,436,11.02,2.7505,5.45,2.6609,Noun,345.0,0.61,Noun.Verb.Name,345.214.3,214
ditch,401,308,368,288,7.86,2.6042,3.67,2.49,Verb,214.0,0.54,Verb.Noun,214.186,214
fainted,222,176,212,172,4.35,2.3483,2.1,2.248,Verb,214.0,0.96,Verb.Name.Adjective,214.5.4,214
flash,783,578,609,502,15.35,2.8943,6.89,2.7627,Noun,444.0,0.57,Noun.Verb.Adjective.Name,444.214.123.2,214
growling,230,89,151,69,4.51,2.3636,1.06,1.9542,Verb,214.0,0.93,Verb.Adjective.Noun,214.15.1,214
scrub,318,216,234,191,6.24,2.5038,2.58,2.3365,Verb,214.0,0.67,Verb.Noun,214.104,214
shipped,214,193,210,189,4.2,2.3324,2.3,2.2878,Verb,214.0,1.0,Verb,214,214
alter,244,199,218,185,4.78,2.3892,2.37,2.301,Verb,213.0,0.87,Verb.Noun,213.31,213
humiliate,213,192,197,181,4.18,2.3304,2.29,2.2856,Verb,213.0,1.0,Verb,213,213
humming,251,174,191,144,4.92,2.4014,2.07,2.243,Verb,213.0,0.85,Verb.Noun.Adjective,213.32.5,213
reflect,213,176,209,174,4.18,2.3304,2.1,2.248,Verb,213.0,1.0,Verb,213,213
represented,213,185,213,185,4.18,2.3304,2.21,2.2695,Verb,213.0,1.0,Verb,213,213
whispers,280,183,206,144,5.49,2.4487,2.18,2.2648,Verb,213.0,0.76,Verb.Noun,213.66,213
best,20623,6673,19659,6598,404.37,4.3144,79.55,3.8244,Adjective,17069.0,0.83,Adjective.Adverb.Verb.Name,17069.3327.212.1,212
covers,478,411,468,403,9.37,2.6803,4.9,2.6149,Noun,265.0,0.56,Noun.Verb,265.212,212
loose,2131,1508,2060,1474,41.78,3.3288,17.98,3.1787,Adjective,1466.0,0.69,Adjective.Adverb.Verb.Noun,1466.300.212.150,212
sentenced,213,167,200,159,4.18,2.3304,1.99,2.2253,Verb,212.0,1.0,Verb.Adjective,212.1,212
stake,847,666,819,652,16.61,2.9284,7.94,2.8241,Noun,634.0,0.75,Noun.Verb,634.212,212
poured,222,199,212,195,4.35,2.3483,2.37,2.301,Verb,211.0,0.95,Verb.Adjective,211.11,211
caring,359,321,339,305,7.04,2.5563,3.83,2.5079,Verb,210.0,0.58,Verb.Noun.Adjective,210.83.66,210
compromise,358,279,335,269,7.02,2.5551,3.33,2.4472,Verb,210.0,0.59,Verb.Noun,210.147,210
house,26214,6040,24470,5849,514.0,4.4185,72.01,3.7811,Noun,25883.0,0.99,Noun.Verb.Name,25883.210.66,210
jumps,253,218,247,212,4.96,2.4048,2.6,2.3404,Verb,210.0,0.83,Verb.Noun,210.42,210
retrieve,210,173,186,160,4.12,2.3243,2.06,2.2405,Verb,210.0,1.0,Verb,210,210
whistle,788,473,684,442,15.45,2.8971,5.64,2.6758,Noun,575.0,0.73,Noun.Verb,575.210,210
base,1804,1011,1584,940,35.37,3.2565,12.05,3.0052,Noun,1593.0,0.88,Noun.Verb.Adjective,1593.209.2,209
linked,219,193,218,192,4.29,2.3424,2.3,2.2878,Verb,209.0,0.95,Verb.Adjective,209.10,209
prick,720,484,661,451,14.12,2.8579,5.77,2.6857,Noun,506.0,0.7,Noun.Verb.Name,506.209.3,209
qualify,209,178,208,178,4.1,2.3222,2.12,2.2529,Verb,209.0,1.0,Verb,209,209
wed,125,92,117,85,2.45,2.1004,1.1,1.9685,Verb,209.0,1.0,Verb,209,209
acquired,228,195,222,191,4.47,2.3598,2.32,2.2923,Verb,208.0,0.91,Verb.Adjective,208.20,208
activated,220,162,212,158,4.31,2.3444,1.93,2.2122,Verb,208.0,0.95,Verb.Adjective,208.12,208
ignoring,208,185,200,178,4.08,2.3201,2.21,2.2695,Verb,208.0,1.0,Verb,208,208
spring,1597,1027,1345,910,31.31,3.2036,12.24,3.012,Noun,1374.0,0.86,Noun.Verb.Name,1374.208.13,208
claiming,212,190,204,182,4.16,2.3284,2.27,2.281,Verb,207.0,0.98,Verb.Noun,207.5,207
desire,1034,733,977,713,20.27,3.0149,8.74,2.8657,Noun,822.0,0.8,Noun.Verb,822.207,207
devastated,215,195,210,191,4.22,2.3345,2.32,2.2923,Verb,207.0,0.96,Verb.Adjective,207.8,207
leaning,217,184,201,177,4.25,2.3385,2.19,2.2672,Verb,207.0,0.96,Verb.Adjective.Noun,207.7.2,207
rains,266,202,235,187,5.22,2.4265,2.41,2.3075,Verb,207.0,0.78,Verb.Noun.Name,207.57.2,207
rides,366,309,353,300,7.18,2.5647,3.68,2.4914,Verb,207.0,0.56,Verb.Noun,207.161,207
accepting,206,195,182,174,4.04,2.316,2.32,2.2923,Verb,206.0,1.0,Verb,206,206
exit,794,569,701,520,15.57,2.9004,6.78,2.7559,Noun,586.0,0.74,Noun.Verb,586.206,206
judged,206,157,202,156,4.04,2.316,1.87,2.1987,Verb,206.0,1.0,Verb,206,206
selected,249,210,238,205,4.88,2.3979,2.5,2.3243,Verb,206.0,0.84,Verb.Adjective,206.39,206
settling,210,190,193,175,4.12,2.3243,2.27,2.281,Verb,206.0,0.98,Verb.Noun.Adjective,206.3.1,206
shaved,227,198,215,190,4.45,2.3579,2.36,2.2989,Verb,206.0,0.91,Verb.Adjective,206.21,206
chanting,215,122,164,103,4.22,2.3345,1.45,2.0899,Verb,205.0,0.95,Verb.Noun,205.10,205
employed,209,177,200,172,4.1,2.3222,2.11,2.2504,Verb,205.0,0.99,Verb.Adjective,205.3,205
involving,204,187,196,181,4.0,2.3118,2.23,2.2742,Verb,205.0,1.0,Verb,205,205
risking,206,194,196,186,4.04,2.316,2.31,2.29,Verb,205.0,1.0,Verb.Noun,205.1,205
weep,280,202,252,187,5.49,2.4487,2.41,2.3075,Verb,205.0,0.74,Verb.Noun,205.71,205
abused,231,184,226,181,4.53,2.3655,2.19,2.2672,Verb,204.0,0.88,Verb.Adjective,204.27,204
attempting,204,187,189,179,4.0,2.3118,2.23,2.2742,Verb,204.0,1.0,Verb,204,204
destined,209,178,206,176,4.1,2.3222,2.12,2.2529,Verb,204.0,0.97,Verb.Adjective,204.6,204
du,237,131,155,104,4.65,2.3766,1.56,2.1206,Unclassified,232.0,0.53,Unclassified.Verb.Name,232.204.4,204
no,304549,8359,119570,8310,5971.55,5.4837,99.65,3.9222,Interjection,193371.0,0.64,Interjection.Article.Pronoun.Adverb.Determiner.Noun.Verb.Name,193371.92742.9035.5467.1521.420.204.6,204
tease,290,242,274,231,5.69,2.4639,2.89,2.3856,Verb,204.0,0.7,Verb.Noun,204.86,204
trash,1146,804,1070,770,22.47,3.0596,9.59,2.9058,Noun,937.0,0.82,Noun.Verb.Name,937.204.4,204
challenged,206,175,202,172,4.04,2.316,2.09,2.2455,Verb,203.0,0.99,Verb.Adjective,203.3,203
donate,203,144,189,133,3.98,2.3096,1.72,2.1614,Verb,203.0,1.0,Verb,203,203
points,1642,1049,1593,1035,32.2,3.2156,12.51,3.0212,Noun,1437.0,0.88,Noun.Verb,1437.203,203
puke,319,262,307,254,6.25,2.5051,3.12,2.42,Verb,203.0,0.64,Verb.Noun,203.116,203
tempted,203,164,190,163,3.98,2.3096,1.96,2.2175,Verb,203.0,1.0,Verb,203,203
audition,705,307,696,305,13.82,2.8488,3.66,2.4886,Noun,502.0,0.71,Noun.Verb,502.202,202
couple,11394,4989,10892,4873,223.41,4.0567,59.48,3.6981,Noun,11184.0,0.98,Noun.Verb,11184.202,202
crawled,202,178,194,173,3.96,2.3075,2.12,2.2529,Verb,202.0,1.0,Verb,202,202
creep,573,432,531,410,11.24,2.7589,5.15,2.6365,Noun,369.0,0.65,Noun.Verb,369.202,202
gathering,370,315,348,300,7.25,2.5694,3.76,2.4997,Verb,202.0,0.55,Verb.Noun.Adjective,202.165.1,202
inherited,215,189,207,181,4.22,2.3345,2.25,2.2788,Verb,202.0,0.94,Verb.Adjective,202.13,202
introducing,203,186,158,147,3.98,2.3096,2.22,2.2718,Verb,202.0,1.0,Verb.Noun,202.1,202
invested,202,177,200,176,3.96,2.3075,2.11,2.2504,Verb,202.0,1.0,Verb,202,202
lack,905,761,858,730,17.75,2.9571,9.07,2.882,Noun,702.0,0.78,Noun.Verb,702.202,202
marching,334,238,298,215,6.55,2.525,2.84,2.3784,Verb,202.0,0.6,Verb.Adjective.Noun,202.107.25,202
predict,203,179,202,178,3.98,2.3096,2.13,2.2553,Verb,202.0,1.0,Verb,202,202
stumbled,203,190,200,188,3.98,2.3096,2.27,2.281,Verb,202.0,1.0,Verb,202,202
adds,201,175,193,167,3.94,2.3054,2.09,2.2455,Verb,201.0,1.0,Verb,201,201
bled,201,141,189,132,3.94,2.3054,1.68,2.1523,Verb,201.0,1.0,Verb,201,201
con,644,387,521,331,12.63,2.8096,4.61,2.5888,Noun,413.0,0.65,Noun.Verb.Name,413.201.20,201
divided,227,203,220,199,4.45,2.3579,2.42,2.3096,Verb,201.0,0.88,Verb.Adjective,201.27,201
indicated,203,175,201,174,3.98,2.3096,2.09,2.2455,Verb,201.0,0.99,Verb.Adjective,201.2,201
overheard,204,180,192,172,4.0,2.3118,2.15,2.2577,Verb,201.0,0.99,Verb.Adjective,201.2,201
register,561,423,543,409,11.0,2.7497,5.04,2.6274,Noun,359.0,0.64,Noun.Verb,359.201,201
grabbing,202,193,192,183,3.96,2.3075,2.3,2.2878,Verb,200.0,1.0,Verb.Noun,200.1,200
locking,212,185,177,156,4.16,2.3284,2.21,2.2695,Verb,200.0,0.94,Verb.Adjective.Noun,200.9.3,200
moaning,245,180,206,157,4.8,2.3909,2.15,2.2577,Verb,200.0,0.81,Verb.Noun.Adjective,200.43.3,200
panting,207,109,160,89,4.06,2.3181,1.3,2.0414,Verb,200.0,0.97,Verb.Noun.Adjective,200.5.2,200
pry,210,187,200,179,4.12,2.3243,2.23,2.2742,Verb,200.0,0.95,Verb.Noun,200.10,200
right,204428,8320,181467,8310,4008.39,5.3105,99.19,3.9202,Adverb,148137.0,0.73,Adverb.Adjective.Noun.Verb.Name,148137.41292.14475.200.76,200
awaits,199,170,197,169,3.9,2.301,2.03,2.233,Verb,199.0,1.0,Verb,199,199
behaving,198,181,192,176,3.88,2.2989,2.16,2.2601,Verb,199.0,1.0,Verb,199,199
bonjour,234,117,17,16,4.59,2.3711,1.39,2.0719,Verb,199.0,0.88,Verb.Name.Noun,199.20.7,199
denying,206,180,199,173,4.04,2.316,2.15,2.2577,Verb,199.0,0.97,Verb.Noun,199.7,199
postpone,199,166,181,159,3.9,2.301,1.98,2.2227,Verb,199.0,1.0,Verb,199,199
pouring,302,276,291,268,5.92,2.4814,3.29,2.4425,Verb,199.0,0.66,Verb.Adjective,199.102,199
inspire,198,165,191,161,3.88,2.2989,1.97,2.2201,Verb,198.0,1.0,Verb,198,198
opposed,352,286,335,276,6.9,2.5478,3.41,2.4579,Verb,198.0,0.56,Verb.Preposition.Adjective,198.144.10,198
scan,480,306,423,277,9.41,2.6821,3.65,2.4871,Noun,282.0,0.59,Noun.Verb,282.198,198
travels,288,256,272,246,5.65,2.4609,3.05,2.4099,Verb,198.0,0.69,Verb.Noun.Name,198.86.4,198
attended,198,180,192,174,3.88,2.2989,2.15,2.2577,Verb,197.0,1.0,Verb,197,197
click,327,220,239,168,6.41,2.5159,2.62,2.3444,Verb,197.0,0.6,Verb.Noun,197.129,197
design,826,558,780,529,16.2,2.9175,6.65,2.7474,Noun,626.0,0.76,Noun.Verb,626.197,197
exchange,1031,754,952,704,20.22,3.0137,8.99,2.8779,Noun,828.0,0.8,Noun.Verb.Name,828.197.5,197
forgets,197,180,195,178,3.86,2.2967,2.15,2.2577,Verb,197.0,1.0,Verb,197,197
ripping,204,191,184,175,4.0,2.3118,2.28,2.2833,Verb,197.0,0.97,Verb.Adjective,197.7,197
risked,195,181,192,178,3.82,2.2923,2.16,2.2601,Verb,197.0,1.0,Verb,197,197
comment,654,489,630,472,12.82,2.8162,5.83,2.6902,Noun,457.0,0.7,Noun.Verb,457.196,196
summon,197,147,167,129,3.86,2.2967,1.75,2.1703,Verb,196.0,1.0,Verb,196,196
chooses,197,173,197,173,3.86,2.2967,2.06,2.2405,Verb,195.0,1.0,Verb,195,195
creates,196,168,190,162,3.84,2.2945,2.0,2.2279,Verb,195.0,1.0,Verb,195,195
heat,2044,1315,1926,1260,40.08,3.3107,15.68,3.1193,Noun,1850.0,0.9,Noun.Verb,1850.195,195
