Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Verb_freq
back,102467,8273,98533,8267,2009.16,5.0106,98.63,3.9177,Adverb,77642.0,0.76,Adverb.Noun.Verb.Adjective.Preposition.Name,77642.21861.2424.354.72.2,2424
destroy,2406,1427,2200,1364,47.18,3.3815,17.01,3.1547,Verb,2404.0,1.0,Verb,2404,2404
helping,2588,1941,2487,1891,50.75,3.4131,23.14,3.2882,Verb,2399.0,0.93,Verb.Noun.Adjective,2399.186.1,2399
burn,2816,1641,2372,1509,55.22,3.4498,19.56,3.2154,Verb,2382.0,0.85,Verb.Noun.Name,2382.431.1,2382
helped,2388,1797,2363,1786,46.82,3.3782,21.42,3.2548,Verb,2381.0,1.0,Verb.Adjective,2381.5,2381
checked,2382,1707,2320,1673,46.71,3.3771,20.35,3.2325,Verb,2372.0,1.0,Verb.Adjective,2372.8,2372
closed,2758,1862,2649,1822,54.08,3.4408,22.2,3.2702,Verb,2364.0,0.86,Verb.Adjective,2364.387,2364
build,2452,1542,2327,1484,48.08,3.3897,18.38,3.1884,Verb,2354.0,0.96,Verb.Noun,2354.98,2354
dressed,2394,1708,2331,1676,46.94,3.3793,20.36,3.2327,Verb,2350.0,0.98,Verb.Adjective,2350.38,2350
turns,2552,1898,2161,1653,50.04,3.4071,22.63,3.2785,Verb,2342.0,0.92,Verb.Noun.Name,2342.208.1,2342
acting,2675,1813,2533,1746,52.45,3.4275,21.61,3.2586,Verb,2324.0,0.87,Verb.Adjective.Noun,2324.190.160,2324
discuss,2329,1675,2296,1663,45.67,3.3674,19.97,3.2243,Verb,2322.0,1.0,Verb,2322,2322
hanging,2735,1920,2538,1811,53.63,3.4371,22.89,3.2835,Verb,2305.0,0.84,Verb.Noun.Adjective,2305.278.151,2305
starts,2335,1714,2235,1662,45.78,3.3685,20.43,3.2343,Verb,2304.0,0.99,Verb.Noun,2304.31,2304
laugh,3206,1932,3023,1846,62.86,3.5061,23.03,3.2862,Verb,2281.0,0.71,Verb.Noun,2281.923,2281
allowed,2286,1729,2278,1726,44.82,3.3593,20.61,3.238,Verb,2279.0,1.0,Verb.Noun.Adjective,2279.5.5,2279
bringing,2282,1772,2147,1692,44.75,3.3585,21.13,3.2487,Verb,2279.0,1.0,Verb.Noun,2279.1,2279
afford,2266,1650,2259,1647,44.43,3.3555,19.67,3.2177,Verb,2264.0,1.0,Verb,2264,2264
belong,2263,1576,2244,1567,44.37,3.3549,18.79,3.1978,Verb,2260.0,1.0,Verb,2260,2260
allow,2263,1660,1840,1419,44.37,3.3549,19.79,3.2204,Verb,2259.0,1.0,Verb.Noun,2259.2,2259
upset,3800,2354,3768,2352,74.51,3.5799,28.06,3.372,Verb,2256.0,0.59,Verb.Adjective.Noun,2256.1540.3,2256
broken,3634,2409,3450,2356,71.25,3.5605,28.72,3.382,Verb,2247.0,0.62,Verb.Adjective,2247.1382,2247
knowing,2307,1781,2032,1621,45.24,3.3632,21.23,3.2509,Verb,2246.0,0.98,Verb.Adjective.Noun,2246.52.3,2246
deserve,2230,1682,2221,1679,43.73,3.3485,20.05,3.2261,Verb,2231.0,1.0,Verb,2231,2231
notice,3022,2170,2833,2069,59.25,3.4804,25.87,3.3367,Verb,2224.0,0.74,Verb.Noun,2224.799,2224
taught,2236,1540,2178,1513,43.84,3.3497,18.36,3.1878,Verb,2224.0,1.0,Verb.Adjective.Noun,2224.6.1,2224
lied,2234,1470,2213,1461,43.8,3.3493,17.53,3.1676,Verb,2214.0,0.99,Verb.Unclassified,2214.18,2214
dig,2357,1253,1865,1119,46.22,3.3725,14.94,3.0983,Verb,2211.0,0.94,Verb.Noun,2211.140,2211
sleeping,3027,2041,2828,1937,59.35,3.4812,24.33,3.3101,Verb,2182.0,0.72,Verb.Adjective.Noun,2182.423.418,2182
worried,4831,3061,4770,3041,94.73,3.6841,36.49,3.486,Adjective,2662.0,0.55,Adjective.Verb.Noun,2662.2168.1,2168
held,2165,1639,2123,1615,42.45,3.3357,19.54,3.2148,Verb,2164.0,1.0,Verb.Adjective,2164.2,2164
paying,2207,1610,2157,1582,43.27,3.344,19.19,3.2071,Verb,2151.0,0.97,Verb.Adjective,2151.56,2151
meeting,6752,3307,6589,3256,132.39,3.8295,39.43,3.5196,Noun,4608.0,0.68,Noun.Verb,4608.2138,2138
settle,2143,1526,1855,1374,42.02,3.3312,18.19,3.1838,Verb,2134.0,1.0,Verb.Noun,2134.3,2134
noticed,2131,1666,2121,1660,41.78,3.3288,19.86,3.2219,Verb,2131.0,1.0,Verb,2131,2131
fill,2241,1698,1882,1484,43.94,3.3506,20.24,3.2302,Verb,2123.0,0.95,Verb.Noun,2123.117,2123
order,7985,3825,7264,3695,156.57,3.9023,45.6,3.5827,Noun,4795.0,0.6,Noun.Verb.Conjunction,4795.2119.1059,2119
built,2099,1446,2040,1421,41.16,3.3222,17.24,3.1605,Verb,2099.0,1.0,Verb,2099,2099
cost,2801,1995,2688,1944,54.92,3.4475,23.78,3.3002,Verb,2098.0,0.75,Verb.Noun.Name,2098.692.3,2098
offer,3810,2371,3740,2342,74.71,3.581,28.27,3.3751,Verb,2089.0,0.55,Verb.Noun,2089.1719,2089
written,2247,1548,2141,1481,44.06,3.3518,18.45,3.1901,Verb,2086.0,0.93,Verb.Adjective.Noun,2086.160.1,2086
