Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Adverb_freq
generally,424,367,355,313,8.31,2.6284,4.38,2.5658,Adverb,423.0,1.0,Adverb,423,423
open,16341,5847,12221,5286,320.41,4.2133,69.71,3.767,Verb,11011.0,0.68,Verb.Adjective.Adverb.Noun,11011.4898.395.3,395
legally,388,335,320,283,7.61,2.5899,3.99,2.5263,Adverb,388.0,1.0,Adverb,388,388
overnight,511,440,476,417,10.02,2.7093,5.25,2.6444,Adverb,381.0,0.74,Adverb.Adjective,381.132,381
approximately,380,321,312,268,7.45,2.5809,3.83,2.5079,Adverb,380.0,1.0,Adverb,380,380
mighty,1355,785,1126,708,26.57,3.1323,9.36,2.8954,Adjective,979.0,0.72,Adjective.Adverb,979.376,376
deeper,644,477,571,454,12.63,2.8096,5.69,2.6794,Adverb,375.0,0.58,Adverb.Adjective,375.269,375
occasionally,364,333,275,258,7.14,2.5623,3.97,2.5237,Adverb,364.0,1.0,Adverb,364,364
nowadays,359,304,304,261,7.04,2.5563,3.62,2.4843,Adverb,359.0,1.0,Adverb,359,359
beautifully,357,293,325,275,7.0,2.5539,3.49,2.4683,Adverb,356.0,1.0,Adverb,356,356
emotionally,354,302,323,281,6.94,2.5502,3.6,2.4814,Adverb,354.0,1.0,Adverb,354,354
originally,355,299,289,249,6.96,2.5514,3.56,2.4771,Adverb,354.0,1.0,Adverb,354,354
short,4367,2823,4033,2707,85.63,3.6403,33.66,3.4509,Adjective,3794.0,0.87,Adjective.Adverb.Name.Noun.Verb,3794.353.183.18.16,353
currently,351,324,307,284,6.88,2.5465,3.86,2.5119,Adverb,351.0,1.0,Adverb,351,351
quick,5542,3097,4067,2650,108.67,3.7437,36.92,3.4911,Adjective,5184.0,0.94,Adjective.Adverb.Noun,5184.349.2,349
