Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Adjective_freq
lousy,1210,884,1107,822,23.73,3.0831,10.54,2.9469,Adjective,1207.0,1.0,Adjective.Adverb,1207.5,1207
illegal,1199,857,1145,831,23.51,3.0792,10.22,2.9335,Adjective,1198.0,1.0,Adjective.Noun,1198.1,1198
golden,1187,757,726,530,23.27,3.0748,9.02,2.8797,Adjective,1184.0,1.0,Adjective,1184,1184
popular,1177,849,1119,811,23.08,3.0711,10.12,2.9294,Adjective,1184.0,1.0,Adjective,1184,1184
royal,1185,506,608,304,23.24,3.0741,6.03,2.705,Adjective,1184.0,1.0,Adjective.Name,1184.1,1184
living,7983,4108,7628,4027,156.53,3.9022,48.97,3.6137,Verb,4129.0,0.52,Verb.Noun.Adjective.Name,4129.2663.1175.1,1175
federal,1173,672,755,502,23.0,3.0697,8.01,2.828,Adjective,1171.0,1.0,Adjective,1171,1171
silent,1173,785,945,712,23.0,3.0697,9.36,2.8954,Adjective,1171.0,1.0,Adjective,1171,1171
easier,2012,1644,1948,1611,39.45,3.3038,19.6,3.2162,Adjective,1161.0,0.58,Adjective.Adverb,1161.849,1161
nasty,1151,897,1031,829,22.57,3.0615,10.69,2.9533,Adjective,1150.0,1.0,Adjective,1150,1150
sensitive,1149,909,1111,887,22.53,3.0607,10.84,2.959,Adjective,1148.0,1.0,Adjective,1148,1148
joint,1405,898,1291,840,27.55,3.148,10.71,2.9538,Adjective,1146.0,0.82,Adjective.Noun,1146.259,1146
brown,3066,1290,1042,757,60.12,3.4867,15.38,3.1109,Name,1890.0,0.62,Name.Adjective.Noun.Verb,1890.1144.23.3,1144
precious,1191,817,1060,782,23.35,3.0763,9.74,2.9128,Adjective,1140.0,0.96,Adjective.Adverb.Noun,1140.50.1,1140
foreign,1137,749,929,675,22.29,3.0561,8.93,2.8751,Adjective,1137.0,1.0,Adjective,1137,1137
particular,1423,1096,1418,1095,27.9,3.1535,13.07,3.0402,Adjective,1129.0,0.79,Adjective.Adverb.Noun.Name,1129.281.10.2,1129
rude,1125,885,1094,871,22.06,3.0515,10.55,2.9474,Adjective,1121.0,1.0,Adjective,1121,1121
exact,1154,948,1120,931,22.63,3.0626,11.3,2.9773,Adjective,1116.0,0.97,Adjective.Verb,1116.38,1116
political,1115,646,1043,618,21.86,3.0477,7.7,2.8109,Adjective,1116.0,1.0,Adjective,1116,1116
awake,1362,1016,1315,997,26.71,3.1345,12.11,3.0073,Adjective,1105.0,0.81,Adjective.Verb,1105.257,1105
alright,4044,671,1755,543,79.29,3.6069,8.0,2.8274,Adverb,2939.0,0.73,Adverb.Adjective,2939.1104,1104
ancient,1105,738,953,660,21.67,3.0438,8.8,2.8686,Adjective,1102.0,1.0,Adjective.Noun,1102.2,1102
delicious,1098,854,916,750,21.53,3.041,10.18,2.932,Adjective,1097.0,1.0,Adjective,1097,1097
miserable,1096,854,1049,829,21.49,3.0402,10.18,2.932,Adjective,1096.0,1.0,Adjective,1096,1096
likely,1314,1041,1266,1014,25.76,3.1189,12.41,3.0179,Adjective,1094.0,0.83,Adjective.Adverb,1094.218,1094
fancy,1777,1233,1486,1098,34.84,3.2499,14.7,3.0913,Adjective,1093.0,0.62,Adjective.Verb.Noun.Name,1093.457.204.19,1093
rare,1087,864,1035,838,21.31,3.0366,10.3,2.937,Adjective,1084.0,1.0,Adjective,1084,1084
spanish,1130,606,31,23,22.16,3.0535,7.22,2.7832,Adjective,1083.0,0.96,Adjective.Noun.Name.Verb,1083.43.3.1,1083
emotional,1081,767,1040,744,21.2,3.0342,9.14,2.8854,Adjective,1080.0,1.0,Adjective,1080,1080
german,1624,566,28,13,31.84,3.2109,6.75,2.7536,Adjective,1067.0,0.66,Adjective.Noun.Name,1067.556.2,1067
capable,1062,857,1052,851,20.82,3.0265,10.22,2.9335,Adjective,1064.0,1.0,Adjective.Noun,1064.1,1064
pleasant,1072,806,929,736,21.02,3.0306,9.61,2.9069,Adjective,1063.0,0.99,Adjective.Name,1063.7,1063
false,1078,826,951,741,21.14,3.033,9.85,2.9175,Adjective,1062.0,0.99,Adjective.Adverb,1062.12,1062
embarrassing,1165,926,1128,901,22.84,3.0667,11.04,2.9671,Adjective,1042.0,0.9,Adjective.Verb,1042.120,1042
